EntryID,LemmaID,Code,HandshapeImage,HandshapeImage : URL
bake_1,bake_1,A_01_060,"<img src=""https://aslcdi.website/images/handshape_images/closed_b.png"" />",
bake_2,bake_2,B_01_051,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
balance,balance,C_02_046,"<img src=""https://aslcdi.website/images/handshape_images/flat_b.png"" />",
bald,bald,F_02_100,"<img src=""https://aslcdi.website/images/handshape_images/open_8.png"" />",
ball,ball,C_02_044,"<img src=""https://aslcdi.website/images/handshape_images/curved_5.png"" />",
balloon,balloon,A_02_086,"<img src=""https://aslcdi.website/images/handshape_images/s.png"" />",
banana,banana,A_03_002,"<img src=""https://aslcdi.website/images/handshape_images/flat_o.png"" />",
banana_2,banana_2,K_02_097,"<img src=""https://aslcdi.website/images/handshape_images/baby_o.png"" />",
banana_3,banana_3,K_03_014,"<img src=""https://aslcdi.website/images/handshape_images/1.png"" />",
banana_4,banana_4,K_01_061,"<img src=""https://aslcdi.website/images/handshape_images/g.png"" />",
band_aid_1,band_aid,F_02_020,"<img src=""https://aslcdi.website/images/handshape_images/flat_h.png"" />",
band_aid_2,band_aid,H_01_088,"<img src=""https://aslcdi.website/images/handshape_images/h.png"" />",
bandage,bandage,F_03_020,"<img src=""https://aslcdi.website/images/handshape_images/closed_b.png"" />",
bank,bank,D_02_032,"<img src=""https://aslcdi.website/images/handshape_images/closed_b.png"" />",
bar,bar,A_03_072,"<img src=""https://aslcdi.website/images/handshape_images/a.png"" />",
barely,barely,H_03_037,"<img src=""https://aslcdi.website/images/handshape_images/f.png"" />",
bark_1,bark,J_02_051,"<img src=""https://aslcdi.website/images/handshape_images/flatspread_5.png"" />",
bark_2,bark_2,K_01_074,"<img src=""https://aslcdi.website/images/handshape_images/flat_b.png"" />",
bark_3,bark_3,K_02_096,"<img src=""https://aslcdi.website/images/handshape_images/curved_5.png"" />",
barrette,barrette,G_01_101,"<img src=""https://aslcdi.website/images/handshape_images/flat_h.png"" />",
baseball,baseball,A_03_043,"<img src=""https://aslcdi.website/images/handshape_images/s.png"" />",
baseball_cap,baseball_cap,G_02_072,"<img src=""https://aslcdi.website/images/handshape_images/baby_o.png"" />",
basement,basement,C_01_034,"<img src=""https://aslcdi.website/images/handshape_images/a.png"" />",
basic,basic,E_01_101,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
basket_1,basket_1,G_03_070,"<img src=""https://aslcdi.website/images/handshape_images/closed_b.png"" />",
basket_2,basket_2,E_01_060,"<img src=""https://aslcdi.website/images/handshape_images/curved_5.png"" />",
basketball,basketball,A_03_045,"<img src=""https://aslcdi.website/images/handshape_images/curved_5.png"" />",
basketball_2,basketball,H_02_004,"<img src=""https://aslcdi.website/images/handshape_images/flatspread_5.png"" />",
basketball_3,basketball,K_01_013,"<img src=""https://aslcdi.website/images/handshape_images/curved_v.png"" />",
bat_1,bat_1,F_03_043,"<img src=""https://aslcdi.website/images/handshape_images/1.png"" />",
bat_2,bat_2,E_01_021,"<img src=""https://aslcdi.website/images/handshape_images/s.png"" />",
bat_3,bat_2,F_02_028,"<img src=""https://aslcdi.website/images/handshape_images/s.png"" />",
bath,bath,B_01_019,"<img src=""https://aslcdi.website/images/handshape_images/a.png"" />",
bathroom,bathroom,A_02_051,"<img src=""https://aslcdi.website/images/handshape_images/t.png"" />",
bathtub,bathtub,K_02_101,"<img src=""https://aslcdi.website/images/handshape_images/a.png"" />",
battery,battery,D_02_089,"<img src=""https://aslcdi.website/images/handshape_images/bent_1.png"" />",
beach,beach,G_02_029,"<img src=""https://aslcdi.website/images/handshape_images/flat_o.png"" />",
beak,beak,G_03_048,"<img src=""https://aslcdi.website/images/handshape_images/curved_l.png"" />",
beanie,beanie,E_03_091,"<img src=""https://aslcdi.website/images/handshape_images/open_e.png"" />",
beans,beans,E_02_069,"<img src=""https://aslcdi.website/images/handshape_images/g.png"" />",
bear,bear,D_03_063,"<img src=""https://aslcdi.website/images/handshape_images/5.png"" />",
beard,beard,C_03_085,"<img src=""https://aslcdi.website/images/handshape_images/c.png"" />",
beat,beat,D_03_020,"<img src=""https://aslcdi.website/images/handshape_images/s.png"" />",
beaver,beaver,F_02_067,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
because,because,B_01_049,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
become,become,H_02_008,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
bed,bed,A_03_037,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
bed_2,bed_2,K_03_004,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
bedroom,bedroom,D_01_056,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
bee_1,bee,E_03_018,"<img src=""https://aslcdi.website/images/handshape_images/f.png"" />",
bee_2,bee,J_02_101,"<img src=""https://aslcdi.website/images/handshape_images/f.png"" />",
beer,beer,B_03_062,"<img src=""https://aslcdi.website/images/handshape_images/closed_b.png"" />",
