EntryID,LemmaID,Code,Batch,List,Item,YouTube Video,VimeoVideoHTML,VimeoVideo,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),PercentUnknown(Native),PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity_ID,SubtLexUSLog10WF,LexicalClass,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),InCDI,CDI Semantic Category,D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(N) native,D.Iconicity(Z) native,Complexity,IconicityType,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,MarkedHandshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,RepeatedMovement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,MarkedHandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,RepeatedMovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,MarkedHandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,RepeatedMovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,MarkedHandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,RepeatedMovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,MarkedHandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,RepeatedMovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,MarkedHandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,RepeatedMovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,bglm_aoa,empirical_aoa,SignFrequency(M-Nonnative),SignFrequency(SD-Nonnative),SignFreq(Z-Nonnative),SignFrequency(N-Nonnative),PercentGlossAgreement(Nonnative),PercentUnknown(Nonnative),DominantTranslation,Transparency M,Transparency SD,Transparency Z,H index,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency,SelectedFingers.2.0Frequency,Flexion.2.0Frequency,FlexionChange.2.0Frequency,RepeatedMovement.2.0Frequency,Contact.2.0Frequency,Spread.2.0Frequency,SpreadChange.2.0Frequency,ThumbContact.2.0Frequency,ThumbPosition.2.0Frequency,UlnarRotation.2.0Frequency,PhonotacticProbability,Iconicity(Z),Iconicity(M),Iconicity(SD),Iconicity(N),Parameter.Neighborhood.Density.2.0,Neighborhood Density 2.0,SignBankAnnotationID,SignBankEnglishTranslations,SignBankLemmaID,SignBankSemanticField,SignBankID,Neighborhood Density
pizza_1,pizza_1,G_01_013,G1,1.0,13.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/58S7hlsgcwk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346607125?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346607125,4.25,1.871,-0.013000000000000001,27,0.111,4.455,1.864,0.052000000000000005,12,0.083,0.583,0.636,,3.233,Noun,467.0,1401.0,934.0,1902.0,No,Food and Drink,,,,,,,,,1.0,Arbitrary,0,0,0,1,l,0,i,FullyOpen,0.0,,,Open,0.0,SymmetricalOrAlternating,None,1,Neutral,Neutral,,0,l,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,1.94,-0.07,15,0.5379999999999999,0.133,pizza,,,,,0.345,0.363,0.363,0.0,0.153,0.261,0.409,0.7909999999999999,0.446,0.37799999999999995,0.0,0.0,0.684,0.657,0.16399999999999998,5.015,-0.912,1.6669999999999998,1.3730000000000002,30.0,149,2,,,,,,0
pizza_2,pizza_2,E_02_085,E2,2.0,85.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/L3y4PJQjyf0?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346060659?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346060659,5.188,1.942,0.498,32,0.0,5.733,1.58,0.7759999999999999,15,0.0,,,,3.233,Noun,434.0,1368.0,934.0,1902.0,No,,,,,,,,,,3.0,Arbitrary,1,1,0,4,p,1,im,Stacked,,,,Open,1.0,OneHanded,Straight,0,Neutral,Neutral,Neutral,0,,0,i,1.0,p,FullyOpen,,,,Closed,0.0,,,,,,,,,,v,1.0,im,FullyOpen,,1.0,,Closed,0.0,,,,,,,,,,a,0.0,t,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,2.14,0.25,17,,0.0,,,,,,0.392,0.363,0.363,0.426,0.457,0.14,0.025,0.0,0.5539999999999999,0.37799999999999995,0.0,0.0,0.316,0.657,0.836,4.908,-0.9570000000000001,1.733,1.78,30.0,469,1,,,,,,0
pizza_cutter,pizza_cutter,E_02_084,E2,2.0,84.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/jznvDqFkI5Y?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346060606?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346060606,1.875,1.157,-1.3519999999999999,32,0.0,1.867,1.246,-1.311,15,0.0,,,,,Noun,400.0,2536.0,2135.0,3003.0,No,,,,,,,,,,0.0,,0,0,1,2,bent_l,1,i,Bent,0.0,,,Open,0.0,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,Neutral,0,bent_l,0,baby_o,1.0,i,Bent,0.0,,,Open,1.0,AsymmetricalDifferentHandshape,Other,,Neutral,Neutral,Neutral,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.11,-1.39,17,,0.0,,,,,,0.345,0.363,0.363,0.426,0.457,0.261,0.099,0.7909999999999999,0.5539999999999999,0.37799999999999995,0.0,0.0,0.684,0.657,0.836,6.212999999999999,0.35,4.69,1.6059999999999999,29.0,449,0,,,,,,0
pjs,pjs,E_03_102,E3,3.0,102.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/hx_5VQV0RfY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346079936?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346079936,3.5,1.599,-0.359,30,0.067,3.5380000000000003,1.127,-0.36200000000000004,14,0.071,0.9640000000000001,1.0,,,Noun,434.0,1435.0,1001.0,1935.0,Yes,Clothing,,,,,,,,,4.0,Arbitrary,1,1,0,2,p,1,im,Stacked,,,,Open,1.0,OneHanded,Curved,0,Neutral,Neutral,,0,,1,i,1.0,p,FullyOpen,,,,Closed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,32.0,3.47,1.96,-0.36,16,0.9329999999999999,0.063,pjs,,,,,0.392,0.363,0.363,0.0,0.233,0.14,0.025,0.0,0.5539999999999999,0.37799999999999995,0.0,0.0,0.316,0.657,0.16399999999999998,3.5860000000000003,-0.9229999999999999,1.5630000000000002,1.094,16.0,265,0,,,,,,0
place,place,G_01_029,G1,1.0,29.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/zsq14c1wUao?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346607825?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346607825,5.778,1.34,0.8540000000000001,27,0.0,5.5,1.2429999999999999,0.7290000000000001,12,0.0,,,,4.488,Noun,434.0,1368.0,934.0,1869.0,No,,,,,,,,,,4.0,Arbitrary,1,0,0,1,p,1,im,Stacked,0.0,,0.0,Open,1.0,SymmetricalOrAlternating,Curved,0,Neutral,Neutral,Neutral,1,p,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.41,0.96,15,,0.0,,,,,,0.345,0.363,0.363,0.426,0.233,0.14,0.025,0.7909999999999999,0.5539999999999999,0.622,0.0,0.878,0.316,0.657,0.836,6.547999999999999,-0.6509999999999999,2.1069999999999998,1.449,28.0,265,4,PLACEp,"area, location, place, position, setting, site, spot",PLACE,None,217.0,9
plain,plain,E_03_079,E3,3.0,79.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/FmEcLqTek1g?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346069980?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346069980,3.9,1.709,-0.12300000000000001,30,0.0,4.071000000000001,1.5419999999999998,-0.076,14,0.0,,,,3.0469999999999997,Adjective,467.0,1502.0,1034.0,2069.0,No,,,,,,,,,,0.0,Arbitrary,0,0,1,2,1,0,i,FullyOpen,0.0,,,Closed,0.0,OneHanded,None,0,Head,Mouth,,1,,0,open_b,1.0,imrp,FullyOpen,0.0,0.0,0.0,Open,0.0,AsymmetricalSameHandshape,Straight,,Hand,Palm,FingerFront,1.0,open_b,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,1.88,-0.16,16,,0.0,,,,,,0.392,0.266,0.046,0.0,0.153,0.261,0.409,0.7909999999999999,0.5539999999999999,0.622,0.0,0.0,0.684,0.34299999999999997,0.836,5.357,-0.385,2.645,1.704,31.0,290,47,PLAIN,plain,PLAIN,Attribute,749.0,44
plan,plan,E_03_034,E3,3.0,34.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/bwfkSjTQ33I?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346067251?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346067251,5.632999999999999,1.217,0.7390000000000001,30,0.0,5.7139999999999995,1.383,0.732,14,0.0,,,,3.8710000000000004,Verb,400.0,1068.0,667.0,1668.0,No,,,,,,,,,,1.0,Arbitrary,0,0,0,1,open_b,1,imrp,FullyOpen,0.0,0.0,0.0,Open,0.0,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,Neutral,0,open_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,1.09,0.75,16,,0.0,,,,,,0.345,0.363,0.363,0.426,0.457,0.449,0.409,0.7909999999999999,0.5539999999999999,0.37799999999999995,0.602,0.878,0.684,0.657,0.836,8.191,-0.726,2.0,1.486,30.0,541,24,PLAN,"arrange, plan, planning, prepare, schedule, to plan",PLAN,None,905.0,37
planet,planet,F_01_019,F1,1.0,19.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/X-nR80oUzI0?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346487960?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346487960,4.2219999999999995,1.476,0.009000000000000001,27,0.0,4.143,1.406,-0.078,14,0.0,,,,3.2960000000000003,Noun,567.0,1635.0,1068.0,2202.0,No,,,,,,,,,,4.0,Arbitrary,0,0,0,1,open_8,1,m,Flat,0.0,,,Open,0.0,AsymmetricalDifferentHandshape,Curved,1,Hand,PalmBack,,1,C,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,1.6,0.1,13,,0.0,,,,,,0.175,0.25,0.024,0.0,0.233,0.045,0.162,0.7909999999999999,0.446,0.622,0.0,0.0,0.684,0.657,0.16399999999999998,4.253,-1.11,1.4240000000000002,1.119,33.0,191,1,PLANET,"earth, geography, globe, planet",PLANET,None,784.0,0
plant,plant,E_01_029,E1,1.0,29.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/yCE1sx3KPNM?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen="""">
</iframe>","<iframe src=https://player.vimeo.com/video/346015614?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346015614,4.829,1.581,0.304,35,0.0,4.333,1.633,0.043,15,0.0,,,,3.1489999999999996,Noun,567.0,1535.0,968.0,2302.0,No,,,,,,,,,,3.0,Arbitrary,0,0,0,1,o,0,imrp,Curved,1.0,0.0,1.0,Open,1.0,AsymmetricalDifferentHandshape,Curved,1,Hand,Other,HandAway,1,C,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,1.47,0.5,20,,0.0,,,,,,0.175,0.25,0.025,0.155,0.233,0.449,0.225,0.209,0.446,0.622,0.602,0.122,0.316,0.657,0.836,5.322,-0.10300000000000001,3.0,1.8259999999999998,4.0,192,0,PLANT,"garden, grow, plant, vegetation",PLANT,None,220.0,1
plate,plate,F_02_060,F2,2.0,60.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/KG_pGhWoD-w?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346509671?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346509671,4.888999999999999,1.625,0.354,27,0.0,5.357,1.7369999999999999,0.581,14,0.0,,,,3.117,Noun,367.0,1368.0,1001.0,1902.0,Yes,Small Household Items,,,,,,,,,1.0,Arbitrary,0,0,0,1,curved_l,1,i,Curved,0.0,,,Open,0.0,SymmetricalOrAlternating,Straight,1,Neutral,Neutral,Neutral,0,curved_l,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,19.0,4.39,1.39,0.11,13,,0.0,,,,,,0.345,0.363,0.363,0.426,0.457,0.261,0.225,0.7909999999999999,0.446,0.37799999999999995,0.0,0.0,0.684,0.657,0.836,6.232,-0.319,2.7739999999999996,2.045,31.0,455,1,PLATE,"dish, plate, platter",PLATE,None,906.0,3
platform,platform,E_03_070,E3,3.0,70.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/UWRXnEluy1A?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346069200?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346069200,3.9330000000000003,1.5519999999999998,-0.157,30,0.0,3.8569999999999998,1.5619999999999998,-0.23800000000000002,14,0.0,,,,2.497,Noun,534.0,1034.0,501.0,1702.0,No,,,,,,,,,,1.0,,0,0,0,1,closed_b,0,imrp,FullyOpen,0.0,0.0,0.0,Closed,0.0,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,Neutral,1,closed_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.59,-0.09,16,,0.0,,,,,,0.345,0.363,0.363,0.426,0.457,0.449,0.409,0.7909999999999999,0.5539999999999999,0.622,0.602,0.878,0.684,0.34299999999999997,0.836,8.121,1.085,5.718999999999999,1.3259999999999998,32.0,475,7,,,,,,6
play,play,C_01_066,C,1.0,66.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/TLI9gZqnvc8?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345579036?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345579036,5.9670000000000005,1.159,0.884,30,0.0,6.0,1.085,0.823,18,0.0,,,,4.257,Verb,400.0,901.0,501.0,1502.0,Yes,Action Signs,1.9,1.19,30.0,-0.51,2.0,1.3,21.0,-0.49,2.0,Arbitrary,0,0,0,1,y,1,p,FullyOpen,0.0,,,Open,0.0,SymmetricalOrAlternating,None,1,Neutral,Neutral,,0,y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,19.0,5.92,1.31,0.98,12,,0.0,,4.0,1.63,0.0,2.22,0.345,0.363,0.363,0.0,0.153,0.033,0.409,0.7909999999999999,0.446,0.37799999999999995,0.0,0.0,0.684,0.657,0.16399999999999998,4.787,-0.294,2.4,1.354,30.0,143,4,PLAY,"goof off, party, play",PLAY,Event,526.0,4
players,players,G_03_062,G3,3.0,62.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/JVAOGNNHxEM?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346778079?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346778079,4.731,1.6380000000000001,0.315,27,0.037000000000000005,4.455,1.368,0.237,12,0.083,,,,2.943,Noun,434.0,1435.0,1001.0,1902.0,No,,,,,,,,,,1.0,Arbitrary,0,0,1,2,y,1,p,FullyOpen,0.0,,,Open,0.0,SymmetricalOrAlternating,None,1,Neutral,Neutral,,0,y,1,open_b,1.0,imrp,FullyOpen,0.0,0.0,0.0,Open,0.0,SymmetricalOrAlternating,Straight,,Neutral,Neutral,Neutral,0.0,open_b,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,1.83,0.37,15,,0.0,,,,,,0.345,0.363,0.363,0.0,0.153,0.033,0.409,0.7909999999999999,0.446,0.37799999999999995,0.0,0.0,0.684,0.657,0.16399999999999998,4.787,-0.583,2.095,1.64,21.0,143,4,PLAYER,"agent, athlete, person, play, player, sports",PLAYER,People,907.0,4
playground,playground,A_02_029,A,2.0,29.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/4Z7BKRNFLNg?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/344221578?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/344221578,3.778,1.601,-0.040999999999999995,27,0.0,3.6919999999999997,1.601,-0.061,13,0.0,,,,2.417,Noun,467.0,1502.0,1034.0,1702.0,Yes,Outside Things and Places to Go,1.77,0.96,31.0,-0.78,1.74,0.93,19.0,-0.75,1.0,Arbitrary,0,0,1,3,y,1,p,FullyOpen,0.0,,,Open,0.0,SymmetricalOrAlternating,None,1,Neutral,Neutral,,0,y,1,flat_o,0.0,imrp,Flat,0.0,0.0,0.0,Open,1.0,SymmetricalOrAlternating,None,,Neutral,Neutral,,0.0,flat_o,0.0,5,0.0,imrp,FullyOpen,0.0,1.0,0.0,Open,0.0,SymmetricalOrAlternating,Circular,,Neutral,Neutral,Neutral,0.0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,28.0,3.86,1.66,-0.02,14,,0.0,,,,,,0.345,0.363,0.363,0.0,0.153,0.033,0.409,0.7909999999999999,0.446,0.37799999999999995,0.0,0.0,0.684,0.657,0.16399999999999998,4.787,-0.6859999999999999,1.6,1.329,30.0,143,4,PLAYGROUND,playground,PLAYGROUND,-,3038.0,4
please,please,B_02_007,B,2.0,7.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/51ue8u5P4XE?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345536463?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345536463,6.16,1.3130000000000002,0.9079999999999999,25,0.0,6.143,1.406,0.86,14,0.0,,,,4.749,Adverb,567.0,1101.0,534.0,1969.0,Yes,Games and Routines,2.0,1.07,31.0,-0.47,2.09,1.11,22.0,-0.39,2.0,Arbitrary,0,0,0,1,open_b,1,imrp,FullyOpen,0.0,0.0,0.0,Open,0.0,OneHanded,Circular,1,Body,TorsoTop,TorsoTop,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,16.0,6.18,1.25,0.97,11,,0.0,,4.25,1.97,0.55,2.51,0.392,0.094,0.032,0.011000000000000001,0.076,0.449,0.409,0.7909999999999999,0.446,0.622,0.602,0.878,0.684,0.657,0.836,6.978,-0.059000000000000004,2.667,1.788,30.0,55,4,PLEASE,"enjoy, please, pleasure",PLEASE,None,527.0,0
plenty,plenty,E_01_014,E1,1.0,14.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/y9lqLLcZczk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346014742?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346014742,4.371,1.536,0.055999999999999994,35,0.0,4.533,1.125,0.127,15,0.0,,,,3.502,Adjective,501.0,1201.0,701.0,1969.0,No,,,,,,,,,,2.0,Arbitrary,0,0,0,1,5,0,imrp,FullyOpen,0.0,1.0,0.0,Open,0.0,AsymmetricalDifferentHandshape,Straight,0,Hand,FingerRadial,HandAway,1,S,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,1.8,0.0,20,,0.0,,,,,,0.175,0.25,0.035,0.155,0.457,0.449,0.409,0.7909999999999999,0.5539999999999999,0.622,0.39799999999999996,0.878,0.684,0.657,0.836,7.348,-0.431,2.577,2.082,26.0,397,2,,,,,,2
pliers,pliers,D_01_032,D,1.0,32.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/Ak3M_tsjDZY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345804214?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345804214,3.04,2.0909999999999997,-0.568,25,0.07400000000000001,2.8569999999999998,1.994,-0.637,14,0.125,,,,1.778,Noun,601.0,1835.0,1235.0,2569.0,No,,4.52,1.73,26.0,0.73,4.27,1.94,18.0,0.64,2.0,,0,0,0,1,a,0,t,,,,,Open,,OneHanded,None,1,Neutral,Neutral,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,2.28,-0.48,11,,0.0,,,,,,0.392,0.363,0.363,0.0,0.153,0.057,0.0,0.0,0.446,0.37799999999999995,0.0,0.0,0.0,0.657,0.836,3.645,0.74,4.486000000000001,1.7209999999999999,35.0,178,9,PLIERS,"pliers, tools",PLIERS,None,3039.0,8
