EntryID,Participant,IconicityRating(Raw),Iconicity(Participant Z),ParticipantMeanIconicityRating,ParticipantIconicitySD
about_2,11B2,2,-0.401021792,2.783505155,1.953772015
about_2,4B2,2,-0.363360517,2.711340206,1.957670612
about_2,1B2,1,-0.615347805,2.371134021,2.228226068
about_2,26B2,1,-0.79639127,2.693877551,2.126941385
about_2,13B2,2,-0.52980535,3.06185567,2.00423735
about_2,23B2,1,-0.562193407,2.06122449,1.887650187
about_2,29B2,3,0.438159436,2.183673469,1.863081024
about_2,17B2,1,-0.623789516,2.193877551,1.913910895
about_2,7B2,4,0.672199583,2.515463918,2.208475162
about_2,3B2,4,0.72503366,2.530612245,2.026647639
about_2,12B2,1,-1.113347472,3.690721649,2.416785161
about_2,18B2,2,-0.24152565,2.43877551,1.816682864
about_2,8B2,2,-0.222477486,2.474226804,2.131572109
accident,25B2,6,1.1726381,3.489795918,2.140646872
accident,1B2,1,-0.615347805,2.371134021,2.228226068
accident,6B2,3,0.116910004,2.742268041,2.204532975
accident,10B2,4,0.475967603,2.959183673,2.186737755
accident,2B2,1,-0.87804406,2.494845361,1.702471924
accident,7B2,1,-0.686203741,2.515463918,2.208475162
accident,13B2,5,0.967023357,3.06185567,2.00423735
accident,11B2,6,1.646299988,2.783505155,1.953772015
accident,21B2,3,0.364030399,2.357142857,1.765943572
accident,26B2,1,-0.79639127,2.693877551,2.126941385
accident,4B2,1,-0.874171679,2.711340206,1.957670612
accident,5B2,4,0.590637618,2.701030928,2.199265732
accident,22B2,6,1.062190012,3.316326531,2.526547454
accident,17B2,1,-0.623789516,2.193877551,1.913910895
accident,9B2,3,0.235540942,2.546391753,1.925814863
accident,23B2,1,-0.562193407,2.06122449,1.887650187
accident,14B2,1,-0.700346549,2.734693878,2.476907868
accident,19B2,4,0.951372753,2.244897959,1.844810076
accident,27B2,2,-0.312023455,2.632653061,2.027581745
accident,20B2,5,0.997237633,2.897959184,2.10786351
accident,3B2,1,-0.755243396,2.530612245,2.026647639
accident,18B2,4,0.859381965,2.43877551,1.816682864
accident,16B2,1,-0.531398439,1.87755102,1.65139932
accident,12B2,6,0.955516604,3.690721649,2.416785161
accident,29B2,5,1.511650054,2.183673469,1.863081024
accident,28B2,5,1.017255085,2.908163265,2.056354169
accident,30B2,5,0.550567889,4,1.816306437
accident,8B2,5,1.184934436,2.474226804,2.131572109
accident,24B2,4,0.140154073,3.704081633,2.111379007
accident,15B2,4,0.439499778,3.091836735,2.066356596
accomplish,24C2,1,-0.771564633,2.65,2.138511708
accomplish,7C2,2,-0.633633402,3.27,2.00431353
accomplish,26C2,1,-0.965197066,3.09,2.165360912
accomplish,23C2,3,-0.338764959,3.73,2.15488639
accomplish,22C2,2,-0.324388295,2.7,2.157907703
accomplish,5C2,1,-0.920093712,3.2,2.391060793
accomplish,13C2,1,-0.886668516,3.13,2.402250628
accomplish,21C2,4,0.102549386,3.76,2.340335813
accomplish,15C2,5,0.789571487,3.13,2.368373264
accomplish,20C2,1,-1.138933629,3.5,2.195035721
accomplish,25C2,1,-0.785283591,2.47,1.871935206
accomplish,9C2,1,-0.652359545,2.21,1.854805389
accomplish,6C2,2,-0.43437582,2.9,2.071938535
accomplish,11C2,1,-0.677756682,2.25,1.844319699
accomplish,1C2,1,-0.599336797,2.02020202,1.702218229
accomplish,17C2,1,-0.920013564,2.56,1.695627175
accomplish,4C2,2,-0.587047843,3.21,2.061160799
accomplish,2C2,6,1.049108729,3.34,2.535485529
accomplish,12C2,1,-0.723247217,2.57,2.170765354
accomplish,3C2,1,-0.558716612,1.690721649,1.236264743
accomplish,10C2,1,-0.705911468,2.51,2.139078438
accomplish,27C2,5,2.08288097,1.82,1.526731506
accomplish,8C2,1,-0.682447944,2.111111111,1.628125809
accomplish,19C2,1,-0.794260118,2.66,2.089995409
accomplish,16C2,2,-0.094895293,2.16,1.686068884
accomplish,18C2,4,0.223054218,3.484848485,2.309534967
accomplish,14C2,1,-0.795692074,2.54,1.935422069
accountant,15A3,2,-0.45965014,2.96,2.088544996
accountant,11A3,1,-1.106201511,3.66,2.404625173
accountant,12A3,4,-0.153587043,4.32,2.083509083
accountant,4A3,5,0.357785846,4.35,1.816729218
accountant,20A3,2,-0.451214634,2.88,1.950291354
accountant,1A3,2,-0.727166155,4.02,2.777907068
accountant,6A3,1,-0.958778384,3.35,2.45103565
accountant,19A3,3,-0.559679625,4.04,1.858205934
accountant,17A3,3,-0.605805828,4.15,1.898298015
accountant,13A3,1,-0.475353545,1.86,1.809179735
accountant,21A3,6,0.835635251,4.26,2.082248202
accountant,14A3,1,-1.02149129,2.98,1.938342518
accountant,2A3,2,-0.943798977,4.06,2.182668185
accountant,16A3,5,0.255958407,4.4,2.344130861
accountant,8A3,2,-0.881080189,3.58,1.79325335
accountant,18A3,2,-0.761741386,3.63,2.139833846
accountant,10A3,3,-0.217304641,3.53,2.438972296
accountant,9A3,2,-0.518145324,3.12,2.161555744
accountant,3A3,1,-0.979456397,3.42,2.470758277
accountant,5A3,2,-0.591376645,3.37,2.316628515
accountant,7A3,2,-0.460381122,3.02,2.215555657
act,7B2,1,-0.686203741,2.515463918,2.208475162
act,15B2,2,-0.528387374,3.091836735,2.066356596
act,13B2,2,-0.52980535,3.06185567,2.00423735
act,6B2,1,-0.790311627,2.742268041,2.204532975
act,10B2,2,-0.43863681,2.959183673,2.186737755
act,22B2,1,-0.916795181,3.316326531,2.526547454
act,25B2,2,-0.695955946,3.489795918,2.140646872
act,28B2,1,-0.927935126,2.908163265,2.056354169
act,27B2,1,-0.805221819,2.632653061,2.027581745
act,29B2,1,-0.635331182,2.183673469,1.863081024
act,16B2,1,-0.531398439,1.87755102,1.65139932
act,4B2,2,-0.363360517,2.711340206,1.957670612
act,1B2,1,-0.615347805,2.371134021,2.228226068
act,12B2,1,-1.113347472,3.690721649,2.416785161
act,20B2,1,-0.900418445,2.897959184,2.10786351
act,19B2,1,-0.674810906,2.244897959,1.844810076
act,17B2,1,-0.623789516,2.193877551,1.913910895
act,21B2,1,-0.76850862,2.357142857,1.765943572
