Code,EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
B_01_022,awkward,4.200,2.538,6,5
F_01_13,axe_1,2.741,4.063,6,2
G_03_66,axe_2,1.760,5.050,7,2
C_01_017,baby,5.000,6.833,6,5
K_01_042,BABY_2,0,0,0,2
F_03_61,babysitter,3.963,4.656,6,5
E_01_59,bachelor,4.147,1.240,6,2
D_03_029,back,4.731,5.458,3,2
F_01_41,back_out,4.259,3.636,7,3
G_03_91,backpack_1,3.280,3.545,6,5
G_01_64,backpack_2,3.440,3.710,6,5
F_03_3,backyard,3.370,3.333,6,2
A_03_073,bacon,5.000,3.381,6,5
B_02_082,bad,5.500,1.567,2,2
F_03_96,badge_1,2.250,6.063,6,5
A_01_064,bag,5.452,5.730,6,2
K_02_015,BAG_2,0,0,0,2
A_01_060,bake_1,4.333,1.919,7,1
B_01_051,bake_2,5.120,2.259,7,1
C_02_046,balance,4.067,5.630,6,5
F_02_100,bald,3.593,4.161,2,2
C_02_044,ball,4.633,5.370,6,5
A_02_086,balloon,2.852,4.967,6,5
A_03_002,banana,3.875,5.381,6,3
K_02_097,BANANA_2,0,0,0,3
K_03_014,BANANA_3,0,0,0,1
K_01_061,BANANA_4,0,0,0,3
F_02_20,band_aid_1,2.864,4.097,6,3
F_03_20,bandage,3.000,5.091,6,1
H_01_88,bandaid,3.893,4.120,6,3
D_02_032,bank,4.741,1.161,6,2
A_03_072,bar,4.087,2.190,6,2
H_03_37,barely,4.821,1.792,3,2
J_02_051,bark,3.448,2.667,0,5
K_01_074,BARK_2,0,0,0,5
K_02_096,BARK_3,0,0,0,2
G_01_101,barrette_1,2.577,4.633,6,2
A_03_043,baseball,4.120,6.571,6,5
G_02_72,baseball_cap,4.480,5.531,6,2
C_01_034,basement,2.867,3.167,6,3
E_01_101,basic,4.771,1.808,2,1
G_03_70,basket_1,2.833,1.550,6,2
E_01_60,basket_2,4.471,4.040,6,5
A_03_045,basketball,5.040,3.381,6,5
H_02_4,basketball_2,2.429,5.304,6,2
K_01_013,BASKETBALL_2,0,0,0,5
G_03_53,baster_1,2.786,2.714,7,2
F_03_43,bat_1,2.435,3.406,6,5
E_01_21,bat_2,4.629,6.615,6,5
F_02_28,bat_3,3.731,7.000,7,5
B_01_019,bath,4.920,2.000,6,5
A_02_051,bathroom,6.556,1.300,6,2
K_02_101,BATHTUB,0,0,0,5
D_02_089,battery,5.148,1.800,6,5
G_02_29,beach,3.846,3.313,6,3
G_03_48,beak,1.842,4.381,6,2
E_03_91,beanie,3.115,5.438,7,5
E_02_69,beans,2.806,2.000,6,3
D_03_063,bear,3.115,3.000,6,5
C_03_085,beard,3.300,6.139,6,5
D_03_020,beat,3.240,1.625,7,2
F_02_67,beaver,4.840,2.613,6,2
B_01_049,because,4.240,1.296,5,2
H_02_8,become,4.357,2.261,7,5
A_03_037,bed,6.120,6.095,6,2
K_03_004,BED_2,0,0,0,5
D_01_056,bedroom,4.444,4.000,6,5
E_03_18,bee,3.400,1.750,6,2
J_02_101,bee_2(ck),3.821,2.083,0,2
