Code,EntryID,SignFrequency(M),Iconicity(M),LexicalClass,NeighborhoodDensity
C_03_019,boots,2.933,1.371,Noun,8
K_03_101,boots_2,2.789,1.192,Noun,38
B_01_017,bored,5.8,1.37,Adjective,31
K_03_122,bored_2,4.458,2.462,Adjective,2
B_03_055,borrow,4.96,1.433,Verb,5
B_02_052,boss,5.24,1.8,Noun,5
J_03_001,boston,4.345,1.391,Name,8
H_01_076,both,5.815,2.4,Minor,14
H_01_040,bother,5.071,2.0,Verb,28
D_02_064,bottle,3.846,4.258,Noun,8
F_01_066,bottom,1.643,3.226,Noun,5
H_03_057,bounce,2.36,6.0,Verb,8
F_03_065,bow_1,2.593,4.656,Noun,9
G_02_063,bow_2,2.375,4.419,Noun,37
F_01_060,bow_3,2.481,3.061,Verb,10
K_02_016,bow_4,2.857,6.833,Verb,2
C_03_049,bowl,4.933,4.056,Noun,12
A_02_003,bowling,2.346,2.6,Noun,17
K_01_067,bowling_2,4.074,5.8,Verb,12
A_01_044,bowtie,1.903,5.077,Noun,0
C_03_025,box,4.833,4.889,Noun,5
F_03_050,boxing,3.115,6.844,Verb,8
B_02_090,boy,6.16,1.333,Noun,9
G_02_058,boyfriend,5.407,1.903,Noun,9
A_03_028,bra,3.24,6.19,Noun,2
K_01_090,bra_2,4.08,4.84,Noun,4
K_02_039,bra_3,4.28,4.875,Noun,7
A_03_024,bracelet,3.48,6.571,Noun,1
B_03_011,brag,3.7199999999999998,3.355,Verb,13
K_03_125,braids,3.48,3.615,Noun,3
F_01_078,braille,2.148,4.226,Noun,3
J_01_103,brainstorm,4.167,3.708,Verb,62
E_01_030,brainwash,3.743,4.64,Verb,62
B_03_050,brave,4.522,2.533,Adjective,5
A_02_058,bread,5.259,1.433,Noun,1
D_01_069,break,5.148,5.967,Verb,21
F_01_030,break_down,5.037,4.323,Verb,15
B_01_064,breakdown,4.333,3.741,Verb,33
F_01_073,breakfast_1,6.037,2.581,Noun,16
J_01_053,breakfast_2,4.679,1.583,Noun,3
J_01_047,breaktime,5.414,2.625,Noun,8
D_03_051,breathe,4.038,5.391,Verb,0
H_02_085,brick,4.679,3.9130000000000003,Noun,22
A_03_016,bridesmaid,3.0,2.333,Noun,38
A_03_081,bridge,4.2,3.286,Noun,0
K_01_018,bridge_2,4.52,2.833,Noun,0
F_03_028,bright,5.63,5.531,Adjective,7
F_03_004,bring,6.185,5.156,Verb,41
B_01_065,brother,5.48,1.074,Noun,13
D_03_045,brown,4.923,1.24,Adjective,8
A_01_072,brush,3.733,6.622,Noun,17
E_02_052,bubbles,2.393,4.419,Noun,15
K_02_056,buckle_1,4.76,4.292,Noun,12
K_03_073,buckle_2,3.44,2.192,Noun,12
E_01_099,budget,4.286,1.6,Noun,5
F_03_033,buffalo,3.192,4.0,Noun,1
B_01_067,bug,4.36,2.963,Noun,3
A_03_088,building,5.36,2.857,Noun,2
E_01_098,bull,2.613,5.76,Noun,9
E_01_083,bulldozer,2.852,3.48,Noun,9
J_03_053,bullshit,5.172,1.609,Adjective,8
K_01_123,bumpy,1.3639999999999999,3.44,Adjective,5
K_03_121,bun,3.833,4.769,Noun,2
J_02_037,burn_1,2.893,3.7199999999999998,Verb,19
F_03_009,burp,1.529,5.031,Verb,0
K_01_081,bury,4.63,2.04,Verb,10
K_02_014,bury_1,4.375,2.375,Verb,17
K_03_018,bury_2,3.136,3.0,Verb,28
K_02_093,bury_3,3.458,2.833,Verb,41
E_01_004,bus,5.2,1.12,Noun,2
D_01_022,business,5.185,1.444,Noun,0
G_01_022,busted,4.593,2.6790000000000003,Adjective,13
E_02_040,busy,5.656,2.581,Adjective,8
D_03_030,but,5.654,2.25,Minor,19
A_01_034,butter,5.065,1.944,Noun,5
A_03_056,butterfly,3.7199999999999998,6.571,Noun,5
F_02_025,buttons,3.0,6.29,Noun,7
D_03_074,buy,5.577,3.08,Verb,6
E_01_058,bye,6.057,7.04,Noun,8
B_01_073,cabbage,4.0,1.074,Noun,1
B_03_030,cabinet,2.9,3.233,Noun,0
A_02_054,cafeteria,4.519,1.767,Noun,0
D_01_033,cake,3.296,2.0,Noun,11
E_03_103,calculator,3.074,3.765,Noun,1
D_02_061,calendar,5.296,1.839,Noun,1
H_02_038,california,5.107,1.217,Name,0
C_02_061,call,4.967,6.481,Verb,2
J_02_048,call_2,4.467,1.52,Verb,17
C_01_038,call_attention,4.5,1.7000000000000002,Verb,28
B_03_026,call_tty,3.4,1.267,Verb,14
G_03_004,calm,5.148,4.7,Adjective,8
E_03_021,camcorder,4.7,3.029,Verb,21
G_01_042,camel,2.6,4.429,Noun,0
B_03_073,camera,4.8,6.7,Noun,5
E_02_034,cameraman,2.281,4.097,Noun,0
A_01_045,camping,4.355,2.667,Noun,1
D_03_027,can,6.0,1.6800000000000002,Verb,38
K_02_027,can_2,3.053,2.167,Noun,0
C_03_034,canada,3.6,1.056,Name,13
C_02_017,cancellation,3.933,4.7780000000000005,Noun,2
G_03_056,cancer_1,4.423,2.15,Noun,15
F_01_047,cancer_2,3.963,1.645,Noun,1
C_03_060,candle,3.733,3.6390000000000002,Noun,4
A_01_018,candy_1,4.419,1.897,Noun,62
D_02_079,candy_2,4.654,1.233,Noun,1
G_02_037,cannon,2.577,3.742,Noun,3
E_02_094,cannot,5.813,3.839,Verb,15
D_01_045,canoe,2.222,5.806,Noun,21
F_01_004,cape,1.6,3.645,Noun,9
C_02_086,caption,5.2,2.63,Noun,22
H_03_048,capture,4.25,4.542,Verb,11
D_02_043,car,6.556,6.2,Noun,21
E_03_029,car_accident,3.933,4.394,Verb,2
E_01_039,car_battery,3.314,2.12,Noun,10
J_03_065,cards,4.103,6.435,Noun,2
B_03_039,careful,5.32,1.467,Adjective,5
E_01_063,carousel,2.0,3.08,Verb,1
A_02_083,carrot,3.296,3.533,Noun,9
K_01_105,carrot_2,4.042,2.44,Noun,15
K_03_075,carrot_3,2.2,2.346,Noun,16
J_02_042,carry,4.267,4.72,Verb,41
K_02_026,carve,4.08,2.958,Verb,1
A_01_008,castle,1.579,3.54,Noun,4
K_01_017,castle_2,2.273,2.24,Noun,0
K_02_019,castle_3,2.4,1.375,Noun,15
K_03_110,castle_4,2.455,3.462,Noun,10
H_02_050,casual,5.25,1.826,Adjective,4
A_01_023,cat,5.097,4.618,Noun,14
K_02_047,cat_2,5.333,3.875,Noun,12
K_03_087,cat_3,5.12,3.88,Noun,1
E_03_083,catapult,1.5,6.353,Verb,12
G_02_033,catch_1,3.667,5.6129999999999995,Verb,33
J_01_073,catch_2,2.778,5.75,Verb,33
K_03_109,catch_3,3.7199999999999998,5.923,Verb,33
K_02_058,catch_baseball,3.826,5.667,Verb,10
E_01_034,category,6.314,1.3599999999999999,Noun,12
G_01_025,catepillar,2.76,4.393,Noun,30
B_03_052,catholic,2.92,5.1,Adjective,0
H_02_069,caught,4.037,5.391,Verb,5
D_01_088,cause,3.778,2.028,Verb,38
J_01_091,ceiling,2.759,4.917,Noun,8
J_02_100,celebrate,4.933,2.2,Verb,0
G_02_048,celery,2.7039999999999997,4.645,Noun,1
K_01_128,cellphone,4.667,4.04,Noun,17
H_01_037,cemetery,3.0,1.9500000000000002,Noun,12
C_01_027,center,3.433,3.333,Noun,4
A_02_014,cereal,4.741,1.467,Noun,9
B_01_080,certificate,4.583,1.846,Noun,15
E_02_055,chain,3.375,4.71,Noun,22
A_01_017,chair,5.714,2.075,Noun,17
B_03_051,challenge,4.48,3.276,Noun,19
J_03_030,champ,5.448,1.478,Noun,11
G_01_081,champion,5.815,1.714,Noun,1
A_03_080,chance,4.208,1.381,Noun,12
E_01_031,change,6.371,3.16,Verb,6
C_03_023,channel,2.933,3.484,Noun,10
F_01_037,chaos,5.185,2.484,Noun,17
B_02_088,character,3.625,1.5,Noun,0
F_01_025,charge,5.296,3.806,Verb,14
E_02_056,charge_card,5.406,3.613,Verb,2
F_03_017,chase,4.815,3.531,Verb,0
C_01_079,chat,5.5,1.867,Verb,41
F_02_056,cheap,5.926,2.194,Adjective,11
A_02_008,cheat_1,4.037,1.533,Verb,4
D_01_027,cheat_2,2.56,1.333,Verb,0
B_03_040,check,5.0,6.0,Verb,1
G_03_052,cheek,3.692,6.25,Noun,17
J_03_060,cheer,3.481,5.783,Verb,1
H_02_045,cheerleader_1,2.32,3.609,Noun,0
K_01_016,cheerleader_2,4.407,1.56,Verb,2
A_02_021,cheese,5.63,1.7000000000000002,Noun,4
F_03_064,cheese_grater,1.2,5.156,Noun,6
J_02_033,cherish,5.067,3.04,Verb,17
C_01_083,cherry,3.69,2.2,Noun,3
K_02_113,cherry_2,4.96,1.583,Noun,3
G_02_091,chew_1,3.0,3.839,Verb,62
J_02_027,chew_2,2.3529999999999998,4.0,Verb,6
K_01_100,chew_2_mouth,2.957,4.28,Verb,1
K_02_041,chew_3,3.095,2.75,Verb,0
K_03_094,chew_4,3.542,2.615,Verb,10
D_01_043,chicago,3.259,1.118,Name,0
F_03_101,child,4.815,3.938,Noun,19
C_02_066,children,5.467,2.037,Noun,41
E_02_064,chimney,2.696,3.806,Noun,9
F_02_070,chin_2,5.08,6.806,Noun,2
D_03_061,china,3.038,1.083,Name,1
B_01_002,chocolate,5.5600000000000005,1.63,Noun,0
G_01_079,choke,3.731,6.0,Verb,7
F_02_099,chop,5.185,5.742,Verb,5
G_01_063,chopsticks,4.704,3.5,Noun,4
F_03_029,christmas_1,4.0,1.7810000000000001,Noun,12
J_03_061,christmas_3,3.69,1.174,Noun,12
C_02_018,church,3.267,1.7690000000000001,Noun,9
E_01_046,churn,2.516,5.72,Verb,38
B_02_055,cigar,2.25,3.633,Noun,3
C_01_059,cigarette,3.367,1.5859999999999999,Noun,1
E_02_062,circle,3.656,6.677,Noun,19
H_02_065,circuswheel,2.778,3.583,Noun,1
B_01_029,city,4.5,3.148,Noun,41
K_02_076,city_2,6.083,1.375,Noun,19
G_01_096,clap,3.222,6.75,Verb,41
K_01_032,clash,5.7780000000000005,4.24,Verb,3
B_03_068,class,4.72,1.167,Noun,1
F_03_013,clause,4.63,4.969,Noun,4
G_02_071,claw,2.192,4.323,Noun,1
E_03_082,clean,4.821,4.353,Verb,19
D_01_006,clear,4.269,3.667,Adjective,19
E_01_054,cleftchin,2.696,5.5600000000000005,Noun,31
G_01_047,click,4.926,5.214,Verb,0
J_01_031,client,4.533,,Noun,7
F_01_103,climb_ladder,3.926,6.677,Verb ,19
J_01_083,clip,4.517,3.875,Verb,14
D_02_076,clock,2.7039999999999997,5.484,Noun,3
K_02_038,clock_2,3.667,1.708,Noun,0
G_03_084,close ,5.577,5.381,Verb,8
H_03_061,close_door,5.679,4.958,Verb,8
E_01_068,close_eyes,4.8,6.2,Verb,5
F_03_097,closet_1,3.24,2.0,Noun,0
E_01_091,closet_2,2.758,1.56,Noun,0
E_03_096,clothes,5.367,2.765,Noun,9
A_01_077,cloud_1,3.167,4.676,Noun,0
D_01_092,cloud_2,3.407,4.371,Noun,6
K_02_071,cloud_3,3.478,3.917,Noun,33
K_03_059,cloud_4,5.542,3.76,Noun,6
A_03_026,clown,2.68,4.952,Noun,7
F_03_082,clueless,5.111,3.938,Adjective,14
H_02_083,coach,1.333,1.583,Noun,7
D_02_040,cocacola,2.846,1.0,Name,0
F_03_044,cocaine,3.0,5.25,Noun,6
A_02_088,coconut,3.593,4.067,Noun,17
A_01_032,coffee,6.3870000000000005,2.286,Noun,3
D_01_018,coins,1.6320000000000001,1.9140000000000001,Noun,6
C_02_068,cold,5.9,4.7780000000000005,Adjective,5
B_01_009,college,5.783,1.629,Noun,19
C_02_039,color,5.533,1.115,Noun,11
C_02_070,comb,3.0,6.185,Verb,17
K_03_065,comb_2,5.24,6.192,Noun,17
C_03_074,come,4.833,6.25,Verb,25
H_02_074,come_here,4.286,6.75,Verb,1
E_02_020,come_out,4.469,4.9350000000000005,Verb,11
H_03_058,comfortable,4.926,2.458,Adjective,2
H_01_005,comment,4.607,2.2,Verb,6
J_03_072,committee,4.414,1.435,Noun,7
B_03_013,communication,5.76,4.4,Noun,7
J_01_015,community,5.1,1.458,Noun,19
H_02_044,commute,4.407,1.917,Verb,24
G_02_012,compass,2.593,3.032,Noun,30
G_01_023,complain,5.519,1.929,Verb,5
C_01_061,complex,4.5,1.833,Adjective,37
A_01_054,computer,3.7,1.342,Noun,4
C_01_073,computer_mouse,3.9,4.7,Noun,62
A_03_086,concept,3.273,3.333,Noun,6
G_02_047,concerned,5.259,3.0,Verb,4
K_01_060,conduct_1,3.273,6.4,Verb,19
K_02_091,conduct_2,2.9,5.833,Verb,11
K_03_057,conduct_3,2.526,6.12,Verb,11
D_02_035,confident,4.963,1.667,Adjective,33
G_02_022,confidential,5.444,3.71,Adjective,12
J_02_084,conflict,4.867,3.96,Verb,37
J_01_110,confused_1,5.1,4.25,Adjective,7
J_02_067,confused_2,4.633,3.16,Adjective,62
B_02_022,congratulations,4.8,5.5,Minor,15
E_03_060,connection,3.793,4.75,Noun,1
J_01_101,consume,4.5,3.75,Verb,6
D_03_022,contact,5.462,4.182,Noun,3
E_02_074,contact_lens,3.438,4.419,Verb,0
D_03_032,continue,4.615,2.742,Verb,5
G_01_048,convince,4.926,1.679,Verb,11
H_03_013,convince_2,4.036,2.292,Verb,25
D_03_078,cook,6.077,3.12,Verb,5
B_03_008,cookie,4.96,3.267,Noun,3
F_01_014,cool_1,6.037,2.839,Adjective,0
H_03_099,cool_3,4.296,2.833,Adjective,8
H_03_032,cool_4,5.393,1.792,Adjective,8
J_01_004,cool_5,4.433,4.083,Adjective,11
E_01_010,cooperate,5.143,2.88,Verb,3
D_01_064,copy,4.63,2.114,Verb,8
D_01_053,corkscrew,2.85,5.135,Noun,17
K_01_085,corkscrew_2,2.5789999999999997,5.6,Verb,6
A_02_084,corn_1,4.185,4.1,Noun,31
C_02_026,corn_2,2.0,3.692,Noun,7
K_02_078,corn_3,3.474,3.292,Noun,9
J_03_071,corner,4.103,4.913,Noun,41
J_02_040,correct,4.6,3.36,Verb,2
E_03_020,cost,5.138,2.824,Verb,14
G_02_013,couch_1,2.591,2.774,Noun,15
C_02_071,cough,3.5,4.815,Noun,5
B_01_005,counselor,4.84,1.764,Noun,6
G_02_054,count,4.556,2.645,Verb,7
C_03_058,country,3.9,1.028,Noun,0
C_01_023,cousin,4.133,1.233,Noun,6
C_03_038,cover_up,3.429,2.8890000000000002,Verb,19
A_01_033,cow,3.677,2.778,Noun,1
F_01_018,cowboy,1.278,1.806,Noun,0
F_03_067,crack,3.926,4.094,Verb,4
C_01_081,cracker,3.867,1.267,Noun,2
K_03_093,cracker_2,3.083,1.385,Noun,1
H_02_104,cranky,5.143,3.417,Adjective,11
J_02_017,crash,3.9,4.72,Verb,11
K_01_034,crash_plane,4.037,4.5,Verb,0
D_01_068,crawl,2.296,2.914,Verb,6
K_02_088,crawl_2,4.375,5.833,Verb,17
D_03_040,crazy,2.9619999999999997,6.36,Adjective,62
F_02_010,cream,4.407,1.806,Noun,6
K_01_046,cream_2,4.185,1.76,Noun,9
D_03_076,create,5.308,2.2,Verb,5
B_02_057,credit_card,4.5600000000000005,2.033,Noun,17
K_02_127,crewcut,4.87,2.875,Noun,0
F_03_083,criticize,5.333,4.281,Verb,2
D_01_081,crocodile,2.519,5.441,Noun,33
C_01_067,cross,1.967,6.467,Noun,0
H_01_007,cross_2,4.179,4.75,Verb,11
K_03_028,cross_3,4.88,6.48,Noun,0
J_01_064,cross_heart,2.5,6.167,Verb,0
F_01_016,crown,3.259,5.355,Noun,0
K_01_124,crumple,2.833,4.8,Verb,33
