EntryID,Code
dip,J_01_063
DIP_2,K_01_065
DIP_3,K_02_052
director,H_01_14
dirty,C_03_026
disagreement,B_02_066
disappear,D_01_036
disappoint,G_03_18
disconnect,H_01_17
discuss,E_03_81
dislike,F_03_6
disney,D_03_035
dispatch,G_02_102
disrupt,E_03_76
dissect,J_03_019
dissolve,J_03_081
dive,D_02_029
divide,E_02_18
divorce,C_01_063
dizzy,H_02_102
do_do,E_01_96
doctor,A_03_020
DOCTOR_2,K_03_015
document,H_01_97
doesnt_matter,F_03_31
dog,A_01_056
DOG_2,K_01_055
dog_3(slap),J_02_068
dog_4(slapsnap),H_02_103
doll,C_02_049
dolphin,A_03_057
DOLPHIN_2,K_02_021
DOLPHIN_3,K_03_032
dominant,J_01_087
donkey,J_01_012
dont_care,G_03_82
dont_feel_like,J_01_005
dont_know,E_03_49
dont_like,F_01_33
dont_mind,B_03_033
dont_need,H_01_104
dont_want,E_02_14
donut_1,F_01_71
donut_2,E_02_48
door,A_03_052
dormitory,A_01_059
double,H_03_84
doubt,B_01_057
down,G_03_55
downhill,H_03_12
download,C_03_046
downsize_1,C_01_055
downsize_2,D_02_058
DRAG,K_01_022
drag,J_02_039
dragon,F_01_11
draw,D_02_063
drawer,A_01_082
dreadlocks,G_02_69
dream,B_02_044
dress,A_03_046
dress_up,J_03_057
dresser,F_03_75
DRIBBLE,K_02_074
drill,D_02_044
drink,B_02_012
DRINK_2,K_03_092
drip,F_02_102
drive,E_02_53
drop,C_03_052
drown,D_01_017
DROWN_2,K_01_093
DROWN_3,K_02_111
DROWN_4,K_03_077
DROWN_5,K_01_045
drug,F_01_40
drum,A_03_075
drunk,C_03_077
dry,F_03_5
dryer,C_01_007
duck,D_01_079
DUCK_2,K_02_068
due,H_03_11
dumb,A_02_028
dust,H_03_87
duty,H_03_8
dye,F_02_92
each,F_02_59
each_other,H_02_76
eagle,D_03_066
EAGLE_2,K_03_021
ear,D_02_071
early,G_01_18
earmuffs,F_03_16
earn,C_03_055
earring,C_03_011
ears_up,E_02_99
earth,C_03_002
earthquake,A_03_039
easel,F_01_44
east,D_03_082
easter,E_03_32
easy,D_01_070
easy_to_do,G_02_73
eat_1,B_02_002
eat_2,B_03_082
eclipse,F_02_15
edge,E_03_99
edit_1,F_01_68
edit_2,G_02_57
effect,G_02_44
egg,A_03_011
egg_beater,E_01_7
ego,D_01_014
egypt,C_02_042
eight,J_02_099
either,J_01_085
electrician,A_02_005
ELECTROCUTE,K_01_096
elegance,D_03_042
elementary_school,J_01_070
elephant,A_02_059
elevator_1,E_03_72
elevator_2,G_03_36
ELEVATOR_3,K_03_002
eleven,E_01_52
email,B_03_083
embarrass,C_01_014
emotion,B_03_005
emperor,C_03_005
emphasis,F_03_86
empty_1,E_02_72
empty_2,J_01_077
end,E_01_74
enemy,E_02_45
energy,G_02_56
engagement,B_01_084
engine_start,E_01_36
engineer,A_03_014
english,A_01_011
enjoy,D_03_033
enough,D_01_084
enter,E_02_76
envelope,D_02_020
ENVELOPE_2,K_02_100
ENVELOPE_3,K_03_062
ENVELOPE_4,K_01_041
ENVELOPE_5,K_02_107
environment,J_01_022
equal,C_01_052
erase,J_03_085
ERASE_2,K_03_098
ERASE_3,K_01_099
