,EntryID,Code,group_id,color_code,num_edges
375,escalate,H_01_33,3,#f4b7e2,0
376,fat,C_01_011,3,#f4b7e2,0
377,fingerspell,B_01_048,3,#f4b7e2,0
378,fingerspelling,B_03_065,3,#f4b7e2,8
379,fins,E_03_58,3,#f4b7e2,3
380,fire,B_03_090,3,#f4b7e2,0
381,flag,B_01_036,3,#f4b7e2,0
382,flag_2,G_02_92,3,#f4b7e2,8
383,fold,F_02_19,3,#f4b7e2,3
384,forest,G_01_38,3,#f4b7e2,4
385,freeway,B_03_001,3,#f4b7e2,0
386,freeze,F_03_10,3,#f4b7e2,4
387,gesture,J_03_086,3,#f4b7e2,0
388,get_together,J_02_073,3,#f4b7e2,21
389,give,F_01_23,3,#f4b7e2,2
390,give_up,H_03_28,3,#f4b7e2,3
391,go_ahead,J_01_041,3,#f4b7e2,0
392,go_on,E_01_75,3,#f4b7e2,7
393,goody_goody_shoe_opposite,J_01_072,3,#f4b7e2,2
394,gotcha,H_02_72,3,#f4b7e2,0
395,great,J_03_016,3,#f4b7e2,0
396,grow_up,J_01_036,3,#f4b7e2,0
397,hall,F_01_97,3,#f4b7e2,10
398,hell,G_03_8,3,#f4b7e2,0
399,here,D_01_089,3,#f4b7e2,4
400,high,C_02_045,3,#f4b7e2,28
401,his,F_02_58,3,#f4b7e2,10
402,history,A_02_036,3,#f4b7e2,2
403,honk,H_01_74,3,#f4b7e2,13
404,hundred,H_03_27,3,#f4b7e2,1
405,hunt,B_01_025,3,#f4b7e2,0
406,hurry,G_01_75,3,#f4b7e2,16
407,introduce,D_01_076,3,#f4b7e2,0
408,invite,C_02_007,3,#f4b7e2,6
409,kangaroo,D_03_079,3,#f4b7e2,6
410,knock_off,H_03_35,3,#f4b7e2,0
411,land,G_02_66,3,#f4b7e2,7
412,leave,B_02_084,3,#f4b7e2,1
413,leave_alone,H_03_105,3,#f4b7e2,0
414,lecture,C_03_048,3,#f4b7e2,19
415,lift,G_02_82,3,#f4b7e2,2
416,maybe,B_03_022,3,#f4b7e2,1
417,melt,F_01_50,3,#f4b7e2,0
418,mess,J_03_008,3,#f4b7e2,0
419,mix,H_02_10,3,#f4b7e2,2
420,monster,F_03_14,3,#f4b7e2,0
421,morning,C_02_012,3,#f4b7e2,9
422,move,D_03_090,3,#f4b7e2,0
423,move_down,G_01_53,3,#f4b7e2,0
424,much,B_01_061,3,#f4b7e2,0
425,never,C_02_079,3,#f4b7e2,2
426,noon_2,G_02_14,3,#f4b7e2,1
427,not_used_to,F_03_100,3,#f4b7e2,0
428,nothing,B_01_079,3,#f4b7e2,18
429,office,A_01_063,3,#f4b7e2,0
430,order_1,C_02_064,3,#f4b7e2,0
431,organization,J_03_033,3,#f4b7e2,0
432,overnight,J_01_076,3,#f4b7e2,0
433,pack,H_02_60,3,#f4b7e2,7
434,parade,B_02_039,3,#f4b7e2,5
435,percent,C_02_082,3,#f4b7e2,24
436,piano,A_03_029,3,#f4b7e2,2
437,pile,B_02_077,3,#f4b7e2,5
438,plan,E_03_34,3,#f4b7e2,0
439,process,E_03_55,3,#f4b7e2,0
440,promote,D_01_061,3,#f4b7e2,2
441,"propose(proposal,offer,submit,suggest)",H_02_26,3,#f4b7e2,0
442,provide,H_01_45,3,#f4b7e2,0
443,push,D_02_077,3,#f4b7e2,3
444,put,F_03_46,3,#f4b7e2,1
445,put_aside,G_02_7,3,#f4b7e2,8
446,rafting,E_03_89,3,#f4b7e2,1
447,rainbow,F_03_1,3,#f4b7e2,1
448,ready,F_03_42,3,#f4b7e2,3
449,right_2,C_01_070,3,#f4b7e2,21
450,river_2,F_02_66,3,#f4b7e2,1
451,road,F_02_83,3,#f4b7e2,0
452,rob,G_02_93,3,#f4b7e2,11
453,robot,F_01_34,3,#f4b7e2,0
454,rollerblading,D_02_033,3,#f4b7e2,1
455,room,A_01_024,3,#f4b7e2,45
456,rush,E_03_54,3,#f4b7e2,0
457,sail,D_01_074,3,#f4b7e2,19
458,salad,A_02_061,3,#f4b7e2,0
459,sell,J_03_024,3,#f4b7e2,2
460,sequence,E_02_8,3,#f4b7e2,0
461,serve,E_02_4,3,#f4b7e2,0
462,shop_2,D_03_058,3,#f4b7e2,8
463,short_2,H_02_92,3,#f4b7e2,11
464,short_word,J_02_087,3,#f4b7e2,5
465,slide,F_01_100,3,#f4b7e2,5
466,small,D_01_030,3,#f4b7e2,0
467,social,H_03_30,3,#f4b7e2,0
468,socialize,H_01_21,3,#f4b7e2,3
469,spaceship,J_03_074,3,#f4b7e2,0
470,stadium,G_01_86,3,#f4b7e2,4
471,stairs,A_03_048,3,#f4b7e2,0
472,street,A_01_062,3,#f4b7e2,5
473,stumble,J_02_079,3,#f4b7e2,5
474,sunset,B_02_087,3,#f4b7e2,0
475,swear_in,J_02_016,3,#f4b7e2,0
476,swim,E_03_53,3,#f4b7e2,7
477,swing,A_02_018,3,#f4b7e2,2
478,tall_2,B_01_030,3,#f4b7e2,1
479,things,B_03_043,3,#f4b7e2,17
480,time_to_time,J_01_020,3,#f4b7e2,0
481,traffic,B_01_043,3,#f4b7e2,0
482,vibrate,J_02_035,3,#f4b7e2,4
483,wade,H_01_36,3,#f4b7e2,2
484,WAITER,A_01_061,3,#f4b7e2,0
485,WALK,D_02_057,3,#f4b7e2,1
486,walk_2,J_03_067,3,#f4b7e2,1
487,WANT,C_03_013,3,#f4b7e2,5
488,want_2,E_01_25,3,#f4b7e2,0
489,WAVE,A_03_079,3,#f4b7e2,5
490,WAY,C_02_073,3,#f4b7e2,1
491,WELL,D_01_009,3,#f4b7e2,17
492,WHAT_1,D_02_084,3,#f4b7e2,2
493,wide,J_02_052,3,#f4b7e2,6
494,wind,H_02_68,3,#f4b7e2,0
495,windy,G_02_80,3,#f4b7e2,8
496,your,F_01_52,3,#f4b7e2,1
497,ZERO,D_03_036,3,#f4b7e2,4
498,addict,H_02_73,12,#0fbf5e,0
499,barely,H_03_37,12,#0fbf5e,3
500,bee,E_03_18,12,#0fbf5e,0
501,bee_2(ck),J_02_101,12,#0fbf5e,6
502,birthday,D_01_054,12,#0fbf5e,0
503,black,B_02_006,12,#0fbf5e,0
504,bored,B_01_017,12,#0fbf5e,6
505,bull,E_01_98,12,#0fbf5e,1
506,cat,A_01_023,12,#0fbf5e,6
507,cereal,A_02_014,12,#0fbf5e,5
508,cheek,G_03_52,12,#0fbf5e,1
509,chin_1,E_01_20,12,#0fbf5e,0
510,cool_3,H_03_99,12,#0fbf5e,1
511,cool_4,H_03_32,12,#0fbf5e,0
512,desert,A_03_008,12,#0fbf5e,0
513,doll,C_02_049,12,#0fbf5e,0
514,dont_feel_like,J_01_005,12,#0fbf5e,0
515,dry,F_03_5,12,#0fbf5e,16
516,dryer,C_01_007,12,#0fbf5e,3
517,eagle,D_03_066,12,#0fbf5e,11
518,ear,D_02_071,12,#0fbf5e,3
519,egypt,C_02_042,12,#0fbf5e,20
520,fake,G_03_80,12,#0fbf5e,11
521,famous,E_03_85,12,#0fbf5e,0
522,favorite,B_01_024,12,#0fbf5e,0
523,for,B_03_049,12,#0fbf5e,4
524,forever_2,E_02_25,12,#0fbf5e,0
525,foul,J_01_049,12,#0fbf5e,9
526,fox,A_03_041,12,#0fbf5e,0
527,fruit,C_02_083,12,#0fbf5e,12
528,gay,D_03_011,12,#0fbf5e,3
529,goal,E_03_48,12,#0fbf5e,0
530,headcold,J_02_025,12,#0fbf5e,0
531,hearing_aid,B_01_015,12,#0fbf5e,1
532,honey_2,J_03_052,12,#0fbf5e,2
533,idea,D_01_085,12,#0fbf5e,2
534,if,G_03_17,12,#0fbf5e,0
535,immature,G_01_82,12,#0fbf5e,4
536,intelligent,H_02_80,12,#0fbf5e,0
537,israel,B_02_018,12,#0fbf5e,0
538,know_nothing,H_02_64,12,#0fbf5e,0
539,lesbian,H_01_57,12,#0fbf5e,0
540,lollipop,E_02_95,12,#0fbf5e,3
541,long_time,J_03_013,12,#0fbf5e,0
542,luck,H_03_9,12,#0fbf5e,10
543,lunch_1,F_01_76,12,#0fbf5e,4
544,metal,D_02_037,12,#0fbf5e,10
545,mind,B_01_046,12,#0fbf5e,15
546,mouse,A_03_009,12,#0fbf5e,0
547,pencil,A_02_053,12,#0fbf5e,4
548,penny,D_01_049,12,#0fbf5e,1
549,period(that'sit),J_02_107,12,#0fbf5e,0
550,pipe,B_03_027,12,#0fbf5e,4
551,pretend,D_03_062,12,#0fbf5e,1
552,razor,A_01_089,12,#0fbf5e,1
553,really,B_02_021,12,#0fbf5e,0
554,recent_2(tap),J_02_056,12,#0fbf5e,4
555,red_faced,F_03_30,12,#0fbf5e,0
556,rest_all_day,J_03_043,12,#0fbf5e,0
557,revenge,D_03_088,12,#0fbf5e,0
558,rhino,D_03_016,12,#0fbf5e,0
559,river,A_03_035,12,#0fbf5e,0
560,RUSSIA,D_02_091,12,#0fbf5e,0
561,scout,H_02_99,12,#0fbf5e,0
562,shave_3,H_03_18,12,#0fbf5e,31
563,single,H_01_18,12,#0fbf5e,0
564,skin,F_01_91,12,#0fbf5e,0
565,snorkel,E_01_102,12,#0fbf5e,6
566,soon,G_01_4,12,#0fbf5e,2
567,soon_2(h),J_02_098,12,#0fbf5e,0
568,soon_3,H_03_23,12,#0fbf5e,1
569,stink,H_01_64,12,#0fbf5e,27
570,strawberry,A_01_068,12,#0fbf5e,17
571,sure,C_03_044,12,#0fbf5e,2
572,tan,F_02_72,12,#0fbf5e,0
573,taste,J_01_081,12,#0fbf5e,0
574,teenager,H_02_39,12,#0fbf5e,0
575,telephone,A_02_040,12,#0fbf5e,0
576,tell,C_02_013,12,#0fbf5e,1
577,think,C_03_053,12,#0fbf5e,0
578,toy_2,J_01_056,12,#0fbf5e,0
579,TRUE,D_03_038,12,#0fbf5e,0
580,UGLY,C_01_019,12,#0fbf5e,0
581,WATER,A_02_031,12,#0fbf5e,5
582,water_ski,F_03_22,12,#0fbf5e,0
583,WHAT_FOR,C_02_054,12,#0fbf5e,0
584,woman_2(nose)lady,H_02_19,12,#0fbf5e,0
585,WRONG_1,B_01_055,12,#0fbf5e,0
586,WRONG_2,C_03_050,12,#0fbf5e,4
587,admit,J_02_062,63,#a3cef7,0
588,angry,B_01_070,63,#a3cef7,0
589,breathe,D_03_051,63,#a3cef7,0
590,cape,F_01_4,63,#a3cef7,0
591,clothes,E_03_96,63,#a3cef7,2
592,dress,A_03_046,63,#a3cef7,2
593,dress_up,J_03_057,63,#a3cef7,5
