SignFrequency(M),Iconicity(M),LexicalClass,SignType
5.259,1.750,5,3
0.000,2.045,3,4
2.387,5.000,3,3
3.813,3.467,3,4
4.741,1.529,3,4
5.435,3.967,5,4
2.474,1.355,1,6
6.571,5.130,0,3
2.481,1.429,3,3
5.500,3.000,1,3
3.963,1.657,3,4
4.444,2.545,1,2
3.379,2.818,0,3
1.000,0,0,3
3.893,1.375,0,2
5.963,6.258,7,3
4.577,2.645,3,6
4.720,3.773,1,3
5.114,3.760,1,3
1.588,1.500,3,3
3.680,1.519,5,3
3.333,1.704,6,4
4.840,2.300,3,3
5.867,6.583,5,3
0,0,0,0
4.259,3.226,5,3
5.259,4.063,5,3
4.692,1.950,5,3
2.731,4.633,5,3
4.481,3.759,5,3
3.579,2.880,0,3
0,0,0,0
4.296,3.100,5,3
4.481,4.065,4,3
4.400,3.375,0,3
5.300,4.139,6,3
6.519,5.394,1,3
4.889,4.903,1,3
5.148,3.393,5,3
6.080,6.667,4,3
6.000,2.613,6,4
3.600,5.514,5,3
0,0,0,0
4.250,5.667,5,3
4.000,3.606,3,6
5.042,1.100,2,3
5.000,2.448,3,2
2.000,5.370,0,4
2.143,4.577,3,3
0,0,0,0
0,0,0,0
0,0,0,0
3.097,3.711,3,4
6.375,6.700,3,3
4.500,3.391,0,6
5.167,2.880,0,3
0,0,0,0
0,0,0,0
2.577,4.091,0,4
6.538,3.806,6,4
5.815,0,7,3
5.000,4.469,3,3
4.400,2.750,1,6
5.037,2.970,7,3
4.185,1.387,3,2
2.370,1.767,3,3
6.406,2.100,3,4
4.615,4.767,3,4
5.963,1.533,3,3
4.926,1.133,3,3
6.346,1.516,3,3
2.000,4.227,3,3
5.063,4.267,6,4
5.269,6.304,3,3
0,0,0,0
4.393,4.760,0,6
4.786,2.680,0,4
1.815,2.533,3,4
2.667,5.409,0,3
4.148,5.391,0,4
4.250,3.444,0,4
5.346,6.238,5,2
5.000,1.833,0,6
3.960,1.667,3,4
1.923,5.259,0,6
0,0,0,0
0,0,0,0
4.148,5.273,3,4
6.029,1.600,3,4
2.783,1.400,0,3
4.286,1.667,0,4
2.579,4.704,0,4
3.897,1.227,0,4
4.000,1.926,3,4
4.600,1.400,3,6
3.931,1.760,0,2
4.552,2.000,0,3
4.267,1.240,0,3
4.296,2.486,5,4
4.871,1.444,3,3
4.640,2.100,5,3
5.143,4.280,3,3
3.067,6.792,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3.800,2.708,0,2
3.000,1.581,3,4
4.760,2.300,3,4
2.588,1.550,3,4
3.483,2.208,0,4
5.462,2.160,6,3
5.033,1.677,6,3
5.233,1.750,3,6
3.542,1.633,5,4
2.333,3.069,3,3
3.192,5.450,3,4
4.200,5.320,3,4
5.552,1.318,0,3
2.000,5.750,3,3
2.500,1.967,3,3
0,0,0,0
4.700,3.200,0,3
2.414,6.583,0,3
3.914,6.440,5,3
3.630,3.733,3,2
6.067,2.481,3,3
3.400,2.273,3,3
3.040,1.375,0,3
3.367,6.160,0,4
5.286,6.963,4,3
2.783,4.500,4,3
5.357,3.435,0,3
4.724,2.727,0,2
4.520,1.222,3,4
4.296,6.406,5,4
2.435,5.484,3,4
4.100,3.633,6,3
3.556,3.933,3,6
4.500,2.375,0,3
4.393,3.826,0,4
4.407,1.032,3,3
4.406,3.968,1,2
3.630,1.545,0,2
6.100,4.633,5,3
3.080,5.714,3,4
0,0,0,0
2.926,6.200,3,3
1.714,1.958,0,4
5.370,1.727,6,2
0,0,0,0
5.333,1.444,3,2
3.643,2.130,0,6
4.344,6.840,1,3
3.500,3.433,5,4
4.815,2.848,6,3
4.607,1.833,0,3
3.071,2.458,0,3
5.346,1.667,5,6
4.920,1.167,3,4
3.692,4.520,5,3
4.000,2.871,3,4
2.652,2.125,6,4
3.107,3.917,0,2
3.630,5.152,3,4
3.714,1.583,0,4
0,0,0,0
2.870,1.606,3,3
6.667,3.348,0,4
1.579,3.000,3,4
4.931,1.200,3,3
2.522,2.190,3,3
4.667,2.250,1,4
4.120,2.903,5,4
2.885,4.545,0,4
3.276,4.917,0,4
4.560,1.567,3,2
0,0,0,0
1.400,2.360,0,3
5.607,5.407,0,4
5.800,1.593,3,4
4.594,3.571,5,3
0,0,0,0
1.720,7.000,3,3
5.000,4.640,0,4
5.071,2.000,0,4
4.300,1.760,0,4
4.893,4.964,0,4
3.406,1.560,3,3
5.103,1.273,0,4
3.714,2.107,0,2
4.333,4.800,3,3
3.111,3.567,3,4
4.786,1.565,0,3
3.444,6.419,5,4
3.760,3.000,3,2
6.222,4.733,1,3
3.393,3.333,0,4
0,0,0,0
5.880,2.000,5,4
4.484,1.568,3,4
6.111,4.806,5,4
0,0,0,0
5.759,4.909,0,3
4.148,4.258,5,4
4.686,5.231,3,4
2.962,3.625,3,4
2.308,4.091,0,4
1.731,3.533,3,4
2.100,4.844,3,3
3.548,3.487,5,3
5.900,4.583,5,4
6.771,3.231,5,4
3.680,2.433,3,4
4.400,1.367,6,3
5.360,2.444,5,6
5.800,5.692,5,4
0,0,0,0
5.111,5.375,5,2
4.296,6.300,5,4
3.586,6.800,0,4
4.480,6.576,5,6
5.567,2.889,3,4
3.724,2.300,5,2
5.667,2.290,5,3
6.963,1.600,3,3
2.852,1.515,5,3
2.280,3.375,0,3
3.480,6.571,3,4
4.033,4.667,3,4
6.037,3.211,1,3
6.481,4.273,5,3
3.967,2.481,6,2
4.478,2.167,5,4
4.433,3.028,3,4
1.429,3.696,0,4
4.615,1.682,3,4
5.560,2.667,2,3
6.040,1.600,3,2
2.708,1.926,0,2
4.654,2.560,5,5
4.906,3.167,3,6
4.250,2.043,0,3
4.233,2.542,0,3
5.000,4.206,7,4
4.154,2.720,3,3
4.520,1.700,6,4
3.000,3.350,3,3
6.407,6.581,1,4
3.815,0,1,2
5.867,3.148,1,3
3.880,2.000,7,4
3.857,5.000,0,4
2.000,4.813,3,4
4.667,3.500,3,4
5.600,1.914,1,6
6.240,1.700,1,3
5.800,3.259,1,4
4.714,1.783,0,4
2.696,6.381,5,3
4.321,4.250,0,3
2.926,4.100,3,3
0,0,0,0
4.667,1.167,6,3
4.600,2.000,0,3
6.233,3.367,1,3
4.067,5.667,0,4
6.269,3.306,1,3
5.185,2.000,0,3
3.448,6.417,0,4
5.154,1.583,3,3
6.185,1.970,5,3
3.136,2.280,0,3
4.960,2.100,5,6
4.714,4.870,0,4
2.286,2.533,3,2
0,0,0,0
0,0,0,0
5.480,4.190,3,6
4.188,4.800,5,6
4.654,6.059,6,4
5.333,1.176,3,3
3.000,5.750,5,3
6.000,3.781,3,4
4.926,2.419,6,3
4.867,2.700,3,3
1.739,2.762,3,3
0,0,0,0
5.033,4.593,1,4
4.643,2.833,0,4
3.000,2.737,3,3
5.933,1.259,3,3
0,0,0,0
3.444,1.435,0,3
5.360,4.667,5,3
4.200,3.278,3,6
5.207,1.548,3,2
6.739,1.733,5,6
5.563,4.613,5,4
4.300,1.833,0,6
5.320,2.500,3,6
2.125,4.600,3,2
4.100,3.593,5,4
4.222,1.815,0,4
5.704,2.788,1,3
3.594,5.067,5,4
3.308,5.188,5,4
0,0,0,0
3.467,3.120,0,4
2.708,5.778,0,4
3.840,5.704,3,3
0,0,0,0
0,0,0,0
5.593,6.571,5,2
3.385,5.719,5,3
6.080,1.889,6,3
5.667,1.389,6,3
5.963,6.871,5,3
0,0,0,0
0,0,0,0
0,0,0,0
6.067,6.440,0,4
5.704,3.229,1,3
5.440,1.267,3,4
4.481,1.000,6,3
6.885,2.800,1,3
5.889,1.086,7,3
6.889,6.839,1,3
4.962,1.375,6,3
2.625,1.364,0,4
6.222,2.576,1,3
5.250,2.828,1,2
1.808,6.250,0,3
4.429,5.115,6,4
2.556,2.813,3,4
4.192,6.565,4,3
3.148,6.394,3,6
3.533,2.100,3,3
3.958,4.667,5,4
4.333,3.742,5,2
