SignFrequency(M),Iconicity(M),LexicalClass,SignType
3.692,6.100,3,3
3.481,5.864,0,4
2.320,3.609,3,4
0,0,0,4
5.630,1.700,3,6
1.200,5.156,3,2
5.067,3.083,0,4
3.690,2.200,3,2
0,0,0,2
3.000,3.563,5,3
2.353,4.000,0,3
0,0,0,3
0,0,0,2
0,0,0,4
3.259,1.118,2,3
4.815,3.938,3,3
5.467,2.037,3,4
2.696,3.633,3,6
1.429,6.654,3,3
5.080,6.806,3,3
3.038,1.083,2,3
2.333,4.000,3,2
5.560,1.846,3,2
3.731,5.800,5,3
5.185,5.742,5,6
4.704,3.633,3,3
4.000,1.531,3,3
2.000,1.773,3,3
3.690,1.182,0,3
3.267,1.769,3,2
2.516,5.417,5,4
2.250,3.633,3,3
3.367,1.586,3,2
3.656,6.600,3,3
1.125,1.424,3,3
2.778,3.583,3,4
4.500,3.148,3,4
0,0,0,4
3.222,6.767,5,4
0,0,0,4
4.720,1.167,3,4
4.630,4.781,3,4
2.192,4.094,3,2
4.821,3.733,5,6
4.269,3.667,6,4
2.696,5.400,3,3
2.250,5.360,3,3
4.926,5.032,5,3
4.533,0,0,4
3.926,6.697,5,4
4.517,4.000,0,2
2.704,5.484,3,3
0,0,0,4
5.577,5.381,5,4
5.679,4.958,5,4
4.800,6.120,5,4
3.240,2.000,3,2
2.758,1.240,3,4
5.367,2.375,3,4
3.167,4.676,3,4
3.407,4.371,3,4
0,0,0,4
0,0,0,4
2.680,4.952,3,3
5.111,3.938,6,3
1.333,1.583,3,3
2.846,1.000,2,3
3.000,5.094,3,3
3.593,4.067,3,4
6.387,2.286,3,6
1.632,1.914,3,2
5.900,4.778,6,4
5.783,1.926,3,6
5.533,1.115,3,3
3.000,6.185,5,3
0,0,0,3
4.833,6.250,5,3
4.286,6.750,0,3
4.469,4.655,5,2
4.926,2.458,6,4
4.607,2.111,5,4
4.414,1.318,0,3
5.760,4.400,3,4
5.100,1.600,0,4
4.407,1.917,5,2
2.593,2.844,3,2
5.519,2.034,5,3
4.500,1.833,6,4
3.700,1.342,3,4
3.900,4.700,3,3
3.273,3.333,3,3
5.259,2.813,5,4
0,0,0,4
0,0,0,3
