EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
cool_2,5.077,4.300,2,5
cool_3,4.296,2.833,2,2
cool_4,5.393,1.792,2,2
cool_5,4.433,4.120,0,5
cooperate,5.143,2.846,7,5
copy,4.630,2.114,7,3
corkscrew,2.850,5.135,6,1
corn_1,4.185,4.100,6,2
corn_2,2.000,3.692,6,5
corner,4.103,4.818,0,5
"correct(grade,criticize)",4.600,3.333,0,3
cost,5.138,2.438,6,3
couch_1,2.591,2.656,6,5
cough,3.500,4.815,6,2
counselor,4.840,1.889,6,3
count,4.556,2.500,7,3
country,3.900,1.028,6,2
cousin,4.133,1.233,6,2
cover_up,3.429,2.889,7,1
cow,3.677,2.778,6,2
cowboy,1.278,1.788,6,5
crack,3.926,3.774,7,1
cracker,3.867,1.267,6,2
CRANKY,5.143,3.417,2,2
crash,3.900,4.750,0,3
crawl,2.296,2.914,7,3
crazy,2.962,6.360,2,2
cream,4.407,1.806,6,3
create,5.308,2.200,7,5
credit_card,4.560,2.033,6,3
criticize,5.333,4.281,7,3
crocodile,2.519,5.441,6,5
cross,1.967,6.467,6,2
cross_2,4.179,4.800,7,1
cross_heart,2.500,6.120,0,2
crown,3.259,5.333,6,5
cry,4.440,6.567,7,5
culture,5.786,1.821,6,3
cup,5.742,2.897,6,3
curious,5.852,1.625,2,2
curl,1.818,3.520,0,2
curly_hair,2.619,4.625,2,5
curtain,2.444,4.900,6,5
cut_1,3.241,6.333,7,2
cut_2,4.444,5.469,7,3
cute_1,5.200,3.267,2,2
cute_2,4.500,1.533,2,2
damn,4.778,2.758,5,2
dance,3.960,3.400,6,3
dancer,3.185,2.400,6,3
danger,4.250,1.586,6,3
dark,5.600,1.962,2,5
dark_2(b),5.483,3.727,0,5
dart,1.643,6.389,6,2
date_1,5.222,2.310,6,5
daughter,5.500,2.742,6,2
day,4.733,2.700,6,2
deaf_1,6.769,4.061,2,2
deaf_2,2.167,4.000,2,2
deaf_school,5.429,3.185,6,2
deal_cards,2.048,3.417,0,5
death,4.484,2.568,6,5
decide_1,4.240,2.300,7,2
decide_2,4.962,1.870,7,5
decline,3.444,3.906,7,2
dedicate_1,5.296,1.688,7,2
dedicate_2,2.792,1.773,7,5
deep,3.567,4.500,2,3
deer,3.360,5.381,6,5
defeat_2,3.200,3.136,7,2
definition,4.963,1.625,6,4
deflate,4.571,4.480,7,3
degree,4.167,2.280,0,5
delegate,2.130,1.583,6,2
deliberate,4.786,2.875,7,5
delicious,5.480,2.259,2,2
delinquent,4.593,1.774,6,3
demand,4.500,2.000,6,4
demote,3.586,3.955,0,5
dent,2.632,4.417,2,5
dentist,2.677,3.923,6,2
deny,4.000,2.839,7,5
deodorant,3.968,6.583,6,2
department,4.567,1.630,6,5
depend_on,4.786,1.667,7,5
depress,5.000,3.448,7,5
depth,4.556,5.097,6,3
desert,2.917,1.810,6,2
design,4.241,2.091,0,3
dessert,4.630,1.606,6,5
destroy,4.000,3.267,7,5
develop_1,4.690,2.273,0,1
develop_2,2.714,2.480,7,3
devil,3.355,3.378,6,2
diamond,2.613,1.816,6,3
diaper,3.407,3.300,6,5
dice,3.222,6.129,7,2
dictionary,3.926,2.333,6,3
die,4.346,2.839,7,5
different,5.517,3.625,2,5
different_situation,4.345,1.560,0,2
dig_up,3.556,6.469,7,5
dilemma,3.400,2.920,0,5
dining_room,3.400,2.100,6,2
dinner,4.846,3.048,6,2
dinner_2(d),4.655,2.417,0,2
dinosaur,2.333,3.564,6,2
dip,3.633,5.400,0,3
director,4.185,2.143,6,5
dirty,5.533,2.750,2,2
disagreement,5.200,2.333,6,2
disappear,3.741,3.000,7,3
disappoint,5.296,2.600,7,2
disconnect,4.786,4.560,7,5
discuss,5.767,2.172,7,3
dislike,5.444,3.152,7,2
disney,3.167,1.200,4,2
dispatch,0.000,3.364,7,1
disrupt,5.200,3.000,7,5
dissect,0.000,4.636,0,3
dissolve,4.655,2.818,0,5
dive,2.370,4.065,7,3
divide,4.563,4.700,7,5
divorce,4.100,2.933,6,5
dizzy,3.214,4.875,2,2
do_do,6.400,1.885,7,5
doctor,4.130,3.810,6,2
document,5.036,3.375,7,3
doesnt_matter,6.074,5.030,7,5
dog,6.258,1.737,6,2
dog_3(slap),5.167,1.583,0,2
dog_4(slapsnap),4.500,1.750,6,2
doll,3.333,1.222,6,2
dolphin,2.500,5.952,6,2
dominant,4.833,3.840,0,5
donkey,2.533,3.880,0,5
dont_care,5.538,3.450,7,2
dont_feel_like,5.033,2.080,0,2
dont_know,6.133,5.774,7,5
dont_like,6.111,5.242,7,2
dont_mind,5.840,3.433,7,2
dont_need,5.714,3.833,2,2
dont_want,6.031,5.267,7,5
donut_1,3.259,3.000,6,5
donut_2,4.273,2.966,6,5
door,6.320,3.619,6,1
dormitory,4.323,1.108,6,2
double,4.857,3.250,1,3
doubt,5.440,2.185,7,2
down,4.615,6.800,5,2
downhill,3.821,5.917,2,1
download,3.138,2.667,7,5
downsize_1,2.308,5.484,7,5
downsize_2,4.111,5.226,7,5
