EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
run_2(fists),3.533,6.280,0,5
run_out_of,5.667,2.200,7,3
rush,4.400,3.400,7,5
RUSSIA,3.111,1.613,4,2
sad,5.240,5.800,2,5
safe,5.037,2.000,2,5
sail,1.652,2.303,7,2
sailboat,2.615,2.903,6,3
salad,4.704,3.667,6,5
salt,4.920,1.037,6,1
salt_shaker,4.688,6.500,6,2
same_1,5.840,3.621,5,2
same_2,3.400,1.767,5,5
same_same,4.833,1.875,0,5
same_time,4.607,1.875,0,5
sandals,4.667,2.133,6,3
sandwich,3.677,2.538,6,3
santa,3.333,3.394,6,5
sarcastic,4.571,1.769,2,5
saturday,5.889,1.000,4,2
sauce,4.259,4.382,6,3
sausage,3.280,4.063,6,5
save,5.154,1.810,7,3
save_money,5.333,2.750,7,1
saw,1.571,5.875,7,2
saxophone,1.963,5.450,6,5
scan,4.433,4.032,6,3
scar_memory,4.148,4.500,7,2
scarcely,4.960,1.500,3,5
scared,4.400,4.967,2,5
scarf,2.240,5.905,6,4
schedule,5.920,2.857,6,1
school,6.400,1.194,6,1
science,4.852,1.333,6,5
scientist,3.516,1.410,6,5
scissors,4.548,6.947,6,2
scold,4.250,6.778,0,2
scoop,2.481,6.545,0,3
score,4.536,3.000,0,3
scout,1.524,2.917,0,2
scratch,3.370,5.292,0,3
scream,3.833,4.774,7,2
screwdriver,2.923,5.567,6,3
script,3.280,3.250,0,3
scroll_down,3.423,5.389,6,2
scrub,4.258,5.933,7,3
sculpt,3.600,3.000,0,3
sculpture,3.767,1.867,6,3
seal,2.375,4.690,6,5
secret,4.200,2.306,6,2
secretary,4.240,1.667,6,2
see,6.333,4.630,7,2
see_see,5.690,4.136,0,2
seem,5.148,1.909,7,2
select,5.038,4.240,7,2
self,3.964,4.107,0,2
sell,4.966,1.682,0,5
senate,3.846,1.739,6,2
send,3.844,3.967,7,2
senior_citizen,4.357,1.500,0,2
sensitive,5.000,1.667,0,2
sentence,4.571,2.680,0,5
sequence,4.161,3.900,6,5
serious,5.125,3.154,2,2
serve,4.531,2.621,7,5
set_up,4.160,3.065,7,3
seven,5.296,2.750,1,2
several,4.393,2.160,0,2
sew,2.480,5.867,7,1
shake_1,1.667,4.966,7,4
shake_2,2.760,5.563,7,5
shakespeare,2.250,1.909,0,2
shame,2.231,2.217,6,5
shame_on_you,3.357,5.542,0,1
shampoo,4.481,4.861,6,5
shape,3.444,4.788,6,5
share,5.688,2.567,7,1
shark_1,3.103,5.226,6,2
shark_2,2.323,4.517,6,1
sharp,3.815,3.000,2,3
sharp_2,3.760,2.333,0,3
SHARPEN,2.500,5.250,0,1
shave,2.500,6.129,7,2
shave_2(s-hand),2.208,5.375,0,1
shave_3,3.667,6.042,0,2
sheep,3.222,1.767,6,2
shelf,3.875,4.600,6,5
shield,4.571,4.120,6,2
shiny,3.259,2.353,2,3
shirt,2.867,5.923,6,2
shocked,4.037,4.833,2,2
shoes,6.074,1.533,6,5
shoot,3.133,6.520,0,6
shooting,3.593,6.667,7,5
shop_1,5.067,2.314,7,3
shop_2,6.231,1.500,6,5
short_2,3.821,4.875,0,2
short_distance,5.036,2.520,0,2
short_word,2.263,4.583,0,5
shorts,4.100,3.686,6,5
shot,3.743,4.769,7,2
should,6.111,1.875,7,2
shoulder,3.704,6.700,6,2
shout,4.034,4.773,0,2
shovel,3.167,6.314,6,5
show,5.333,2.500,7,3
shower,5.593,5.367,6,2
shrimp,3.357,2.351,6,2
shut_out,5.148,4.350,7,5
shy,3.880,2.111,2,2
sick,5.320,3.692,2,5
side,4.000,4.818,0,2
sideburns,1.542,5.667,6,5
sign,5.900,2.333,6,5
sign_language,5.222,2.400,6,5
sign_paper,4.714,2.333,0,3
signature,5.481,2.313,6,3
signing_fluently,5.556,1.839,7,5
silly,5.400,2.741,2,2
silver,2.077,1.167,6,2
since,5.115,1.458,5,5
sing,3.000,2.560,7,2
single,4.607,2.481,0,2
single_out,5.100,1.560,0,3
sink,2.406,3.467,7,3
siren,1.789,5.450,6,5
sister,5.385,1.208,6,1
sit,5.615,3.560,7,3
situation,4.857,1.333,0,3
six,5.074,2.550,1,2
skate,2.800,2.433,7,5
skateboarding,1.893,4.630,7,3
ski,3.148,1.161,6,5
skill,5.704,1.688,2,3
skin,4.923,4.242,6,2
skirt,3.567,5.256,6,5
skunk,3.280,2.345,6,2
slave,2.833,3.063,6,5
sled_1,2.056,2.576,6,1
sled_2,2.000,2.031,6,5
sleep,6.600,4.833,7,2
slice,3.346,5.480,0,3
slide,3.192,6.030,7,2
slingshot,1.714,4.226,6,6
slip,3.276,4.500,0,1
slipper,3.057,3.480,6,3
slow,4.640,2.033,2,1
small,5.000,4.083,2,5
smart,5.222,3.903,2,2
smell,5.406,5.133,6,2
smell_money,2.731,5.333,7,2
smile,4.074,6.636,6,5
smoke(fire),3.111,3.929,0,3
smoking,3.433,6.806,7,2
smooth,4.750,2.250,0,5
snail,1.765,4.069,6,3
snake,3.400,4.526,6,2
snap,4.692,6.645,7,2
sneak_adventure,4.704,3.485,7,3
sneeze,2.533,6.806,7,2
snob,3.920,3.967,6,2
snorkel,0.000,4.520,7,2
snow,3.097,4.053,6,2
snowman,2.692,1.300,6,5
snowsuit,2.000,2.455,6,5
so,5.630,2.633,5,2
soap,5.097,2.457,6,3
soap_2,2.048,4.161,7,2
soccer,3.800,1.762,6,1
soccer_2,4.346,3.545,7,3
social,5.286,2.542,0,5
socialize,3.348,3.778,0,5
society,3.630,2.222,0,5
socks,5.120,1.524,6,5
soda,4.533,2.361,6,3
sofa,3.963,1.800,6,5
soft,4.467,2.719,2,5
softball,4.741,4.448,6,5
some,5.625,2.259,5,1
somersault,3.034,5.500,0,5
something,6.000,2.167,5,2
sometimes,5.813,2.133,5,3
son,4.880,2.200,6,2
soon,6.259,1.833,2,2
soon_2(h),6.767,1.458,0,2
soon_3,3.963,1.458,0,2
sophisticated,4.370,2.355,2,2
sophomore,3.241,1.400,0,3
sorry,5.633,3.633,2,2
sound,4.679,5.625,0,2
soup,4.548,5.333,6,3
sour,3.926,3.094,2,2
south,4.000,1.222,6,2
sow,3.704,2.250,0,2
space,4.741,1.417,0,3
spaceship,1.250,1.182,0,2
spaghetti,3.935,2.718,6,5
spain,3.333,1.700,6,2
speakers,2.250,4.654,6,5
special_1,3.500,1.880,0,3
special_2(f),5.100,2.250,0,4
specialist,4.250,1.800,0,1
specific,4.406,2.500,2,1
spend,3.371,1.577,7,5
spend_lots_of_money,3.645,2.310,7,5
spicy,4.310,3.182,0,2
spider,3.192,5.792,6,5
spill,4.148,4.107,7,5
spin(weave),1.100,4.750,0,5
spit_out,3.630,5.133,7,2
spontaneous,4.500,2.700,2,5
spoon,3.440,3.267,6,1
sports,4.333,1.364,6,5
spot_something,3.680,4.233,7,2
spread,4.889,5.900,7,5
spring,4.400,3.226,6,3
square,4.100,6.600,0,5
square_idiot,5.100,1.680,0,2
squeeze,2.000,3.792,0,2
squirrel,2.800,2.917,6,1
sshh,4.438,6.774,7,2
stack,2.476,5.720,0,3
stadium,2.120,2.000,6,5
staff,3.967,1.333,6,2
stairs,5.400,3.810,6,2
stamp,2.762,3.086,6,1
stamp_1,6.815,6.258,7,3
stamp_2,4.963,2.813,7,3
stand,5.219,4.967,7,3
stand_up,5.241,3.909,0,3
stapler,3.222,6.000,7,2
star,5.083,2.476,6,5
starbucks,5.320,1.100,4,5
stare,4.630,4.966,7,2
stars,4.323,3.579,6,5
start,5.760,3.871,7,3
state,1.917,1.594,6,3
stay,5.815,4.000,7,5
stay_awake_24hrs,3.733,2.500,0,5
steak,2.261,1.548,6,3
steal,3.067,2.704,7,2
steam,2.087,4.080,0,5
step,4.114,5.320,7,1
stethoscope,1.333,4.458,6,5
sticky,4.630,5.419,2,5
still,5.667,2.067,3,5
stimulate,4.143,2.000,0,3
sting,2.889,5.500,0,3
stink,4.214,6.852,0,2
stir,3.423,6.739,7,3
stockings,1.773,2.800,6,5
stomach,3.586,5.972,6,2
stop,5.704,3.595,7,1
stopwatch,2.333,5.156,6,2
story,4.714,1.346,6,5
story_2(b),4.933,1.760,0,5
story_3,4.571,1.333,0,5
straight,5.571,6.160,2,2
strange,5.000,1.833,2,2
strangle,2.714,5.440,0,5
straw,3.462,5.258,6,6
strawberry,2.524,1.595,6,2
street,5.290,4.368,6,5
stress,5.125,1.600,6,4
strict,3.800,1.800,2,2
string,4.259,4.844,6,5
stripe,3.429,4.593,0,2
strong,4.926,6.550,2,5
structure,4.250,1.857,0,5
struggle,5.000,2.250,0,5
stubborn,4.640,2.367,2,2
stuck,5.543,3.077,2,2
student,4.704,1.900,6,3
study,5.444,1.724,7,3
stumble,2.481,3.833,0,5
stupid_1,4.100,3.767,2,2
stupid_2,4.633,4.161,2,2
submit,0.000,3.708,0,2
subtract,3.960,3.300,7,3
suck,3.240,4.063,7,2
suit,4.593,2.367,6,5
summarize,4.538,3.040,7,5
summer,4.958,1.433,6,2
sun,4.633,4.593,6,2
sunbathe,3.100,2.667,0,2
sunday_2(8),1.000,1.542,0,1
sunrise,3.893,5.458,0,2
sunset,3.440,4.300,6,2
superior,4.133,3.083,0,1
supervise,4.467,1.520,0,5
supervisor,3.967,1.500,0,5
support_1,5.963,2.000,6,1
support_2,4.769,4.194,7,5
sure,5.400,2.914,2,2
surf,3.032,2.923,7,3
surgeon,3.148,1.467,6,3
surgery,4.071,3.958,0,3
surprise,4.583,4.481,6,5
sushi,4.269,1.320,6,3
suspect,3.967,3.222,6,2
suspend,4.357,3.000,0,5
suspenders_1,2.143,3.969,6,5
suspenders_2,2.286,4.440,7,5
swallow,3.760,5.567,7,2
swear_in,2.800,6.625,0,1
sweat,4.036,4.130,0,2
sweater,3.654,2.516,6,5
sweatpants,1.714,2.400,6,5
sweatshirt,1.800,2.654,6,5
sweep,3.259,4.600,7,1
sweet,5.310,2.136,0,2
sweetheart,3.556,3.000,0,5
swim,4.200,4.033,7,5
swing,1.800,6.290,7,2
swing_2,3.815,5.645,7,5
switzerland,2.231,2.667,6,2
sword,2.033,5.875,6,2
sympathy,4.222,2.233,6,5
system,4.643,2.080,0,5
table,6.000,4.238,6,2
tail,1.875,4.833,6,2
take,5.037,5.323,7,2
take_care,5.444,2.091,7,5
take_notes,4.815,3.938,7,3
take_off,0.000,2.542,0,1
take_off,4.640,5.545,7,3
take_pill,3.217,3.970,7,2
talk,5.333,2.800,7,2
talk_2,3.038,6.704,0,2
talk_dirty,0.000,1.565,0,3
tall_1,4.840,4.379,2,3
tall_2,5.000,5.519,2,2
tan,4.222,1.903,2,2
tanktop_1,3.719,3.615,6,5
tape,2.955,3.100,6,1
taste,5.867,4.240,0,2
tea,4.556,4.433,6,3
teach,4.609,1.452,7,5
teacher,6.074,1.433,6,5
team,5.714,1.880,6,5
tear,2.967,6.889,7,2
tear_rip,4.185,6.600,7,5
tease,5.556,1.800,7,1
technology,6.200,1.219,6,3
teenager,3.750,1.174,0,2
teeth,4.519,6.667,6,2
telephone,5.481,7.000,6,2
tell,5.933,5.667,7,2
temper_blow_up,4.333,1.774,7,2
temporary,5.115,1.500,2,1
temptation,3.552,1.267,6,2
tend_your,5.259,1.750,7,2
tendency,0.000,2.045,6,5
tennis,2.387,5.000,6,2
tent,3.813,3.467,6,5
test,4.741,1.529,6,5
text,5.435,3.967,7,5
than,2.474,1.355,5,1
thank_you,6.571,5.130,0,2
thanksgiving,2.481,1.429,6,2
that,5.500,3.000,5,2
theater,3.963,1.657,6,5
then,4.444,2.545,5,3
theory_1(t),3.379,2.818,0,2
therapy,3.893,1.375,0,3
there,5.963,6.258,3,2
thermometer,4.577,2.645,6,1
these,4.720,3.773,5,2
they,5.114,3.760,5,2
thief_1,1.588,1.500,6,2
thief_2,3.680,1.519,7,2
thin,3.333,1.704,2,5
things,4.840,2.300,6,2
think,5.867,6.583,7,2
think_connect,4.259,3.226,7,2
think_expand,5.259,4.063,7,2
think_obsess,4.692,1.950,7,2
think_over,2.731,4.633,7,2
think_penetrate,4.481,3.759,7,2
think_penetrate,3.579,2.880,0,2
think_smart,4.296,3.100,7,2
third_1,4.481,4.065,1,2
third_2,4.400,3.375,0,2
thirsty,5.300,4.139,2,2
this/it,6.519,5.394,5,2
those,4.889,4.903,5,2
thought_disappear,5.148,3.393,7,2
three,6.080,6.667,1,2
thrilled,6.000,2.613,2,5
throw,3.600,5.514,7,2
throw_away,4.250,5.667,7,2
thunder,4.000,3.606,6,1
thursday,5.042,1.100,4,2
ticket,5.000,2.448,6,3
tickle,2.000,5.370,0,5
tie,2.143,4.577,6,2
tiger,3.097,3.711,6,5
time,6.375,6.700,6,2
time_progress,4.500,3.391,0,1
time_to_time,5.167,2.880,0,2
tiny,2.577,4.091,0,5
tired,6.538,3.806,2,5
tissue,5.000,4.469,6,2
to,4.400,2.750,5,1
to_a_goal,5.037,2.970,3,2
toast,4.185,1.387,6,3
tobacco,2.370,1.767,6,2
today,6.406,2.100,6,5
together,4.615,4.767,6,5
toilet,5.963,1.533,6,2
tomato,4.926,1.133,6,2
tomorrow,6.346,1.516,6,2
tongue,2.000,4.227,6,2
too_much,5.063,4.267,2,5
toothbrush,5.269,6.304,6,2
top,4.393,4.760,0,1
topic,4.786,2.680,0,5
tornado,1.815,2.533,6,5
toss,2.667,5.409,0,2
toss_out,4.148,5.391,0,5
total,4.250,3.444,0,5
touch,5.346,6.238,7,3
tough,5.000,1.833,0,1
tournament,3.960,1.667,6,5
tow,1.923,5.259,0,1
towel,4.148,5.273,6,5
toy,6.029,1.600,6,5
toy_2,2.783,1.400,0,2
TOY_3,4.286,1.667,0,5
tractor,2.579,4.704,0,5
tradition,3.897,1.227,0,5
traffic,4.000,1.926,6,5
train,4.600,1.400,6,1
train_2(practice),3.931,1.760,0,3
transfer,4.552,2.000,0,2
transgender,4.267,1.240,0,2
translate,4.296,2.486,7,5
trash,4.871,1.444,6,2
travel,4.640,2.100,7,2
tree,5.143,4.280,6,2
triangle,3.067,6.792,0,2
triple,3.800,2.708,0,3
trophy,3.000,1.581,6,5
trouble,4.760,2.300,6,5
truck,2.588,1.550,6,5
truck_2(c),3.483,2.208,0,5
TRUE,5.462,2.160,2,2
true_business,5.033,1.677,2,2
truth,5.233,1.750,6,1
TRY,3.542,1.633,7,5
tty,2.333,3.069,6,2
tube,3.192,5.450,6,5
tube_top,4.200,5.320,6,5
tuesday,5.552,1.318,0,2
turban,2.000,5.750,6,2
TURKEY,2.500,1.967,6,2
"turn(take_turn,alternate)",4.700,3.200,0,2
turn_around,2.414,6.583,0,2
turn_key,3.914,6.440,7,2
TURTLE,3.630,3.733,6,3
TV,6.067,2.481,6,2
twin,3.400,2.273,6,2
twins_2(t),3.040,1.375,0,2
twirl,3.367,6.160,0,5
TWO,5.286,6.963,1,2
two_more,2.783,4.500,1,2
two_of_us,5.357,3.435,0,2
two_weeks,4.724,2.727,0,3
TYPE,4.520,1.222,6,5
type_keyboard,4.296,6.406,7,5
udder,2.435,5.484,6,5
UGLY,4.100,3.633,2,2
UMBRELLA,3.556,3.933,6,1
unaware,4.500,2.375,0,2
uncertain(ambivalent),4.393,3.826,0,5
UNCLE,4.407,1.032,6,2
under,4.406,3.968,5,3
undergraduate,3.630,1.545,0,3
UNDERSTAND,6.100,4.633,7,2
UNDERWEAR,3.080,5.714,6,5
unicorn,2.926,6.200,6,2
union_station,1.714,1.958,0,5
unique,5.370,1.727,2,3
UNIVERSITY,5.333,1.444,6,3
until,3.643,2.130,0,1
up,4.344,6.840,5,2
UPLOAD,3.500,3.433,7,5
upset,4.815,2.848,2,2
upset_2,4.607,1.833,0,2
us,3.071,2.458,0,2
USE,5.346,1.667,7,1
VACATION,4.920,1.167,6,5
VACUUM,3.692,4.520,7,2
vagina,4.000,2.871,6,5
vain,2.652,2.125,2,5
validate,3.107,3.917,0,3
valley,3.630,5.152,6,5
value,3.714,1.583,0,5
vanilla(adddisambig.mouthing),2.870,1.606,6,2
vanish,6.667,3.348,0,5
vase,1.579,3.000,6,5
VEGETABLE,4.931,1.200,6,2
VERB,2.522,2.190,6,2
very,4.667,2.250,5,5
very_interested,4.120,2.903,7,5
vest,2.885,4.545,0,5
vibrate,3.276,4.917,0,5
VIDEOCAMERA,4.560,1.567,6,3
videocamera_2(eye),1.400,2.360,0,2
videogame,5.607,5.407,0,5
VIDEOPHONE,5.800,1.593,6,5
view,4.594,3.571,7,2
VIOLIN,1.720,7.000,6,2
vision,5.000,4.640,0,5
visit,5.071,2.000,0,5
visitor,4.300,1.760,0,5
visualize,4.893,4.964,0,5
vitamins(withdisambig.mouthing),3.406,1.560,6,2
vlog,5.103,1.273,0,5
vocabulary,3.714,2.107,0,3
VOICE,4.333,4.800,6,2
VOLLEYBALL,3.111,3.567,6,5
volunteer,4.786,1.565,0,2
VOMIT,3.444,6.419,7,5
VOTE,3.760,3.000,6,3
W.H.A.T,6.222,4.733,5,2
wade,3.393,3.333,0,5
WAIT,5.880,2.000,7,5
WAITER,4.484,1.568,6,5
WALK,6.111,4.806,7,5
walk_2,5.759,4.909,0,2
walk_backwards,4.148,4.258,7,5
wall,4.686,5.231,6,5
wallet,2.962,3.625,6,5
wallet_2,2.308,4.091,0,5
walrus,1.731,3.533,6,5
wand,2.100,4.844,6,2
WANDER,3.548,3.487,7,2
WANT,5.900,4.583,7,5
want_2,6.771,3.231,7,5
WAR,3.680,2.433,6,5
WARM,4.400,1.367,2,2
WARN,5.360,2.444,7,1
wash,5.800,5.692,7,5
wash_dishes,5.111,5.375,7,3
wash_face,4.296,6.300,7,5
wash_face_2(b),3.586,6.800,0,5
wash_hands,4.480,6.576,7,1
WASH_MACHINE,5.567,2.889,6,5
WASTE,3.724,2.300,7,3
watch,5.667,2.290,7,2
WATER,6.963,1.600,6,2
water_ski,2.852,1.515,7,2
waterdrop,2.280,3.375,0,2
WAVE,3.480,6.571,6,5
WAY,4.033,4.667,6,5
we,6.037,3.211,5,2
we_will_see,6.481,4.273,7,2
WEAK,3.967,2.481,2,3
WEAR,4.478,2.167,7,5
WEATHER,4.433,3.028,6,5
weave,1.429,3.696,0,5
WEDDING,4.615,1.682,6,5
WEDNESDAY,5.560,2.667,4,2
WEEK,6.040,1.600,6,3
weekend_2,2.708,1.926,0,3
WEIGH,4.654,2.560,7,6
weight,4.906,3.167,6,1
weird,4.250,2.043,0,2
welcome,4.233,2.542,0,2
WELL,5.000,4.206,3,5
WEST,4.154,2.720,6,2
WET,4.520,1.700,2,5
whale,3.000,3.350,6,2
WHAT_1,6.407,6.581,5,5
WHAT_FOR,5.867,3.148,5,2
WHATEVER,3.880,2.000,3,5
wheel,3.857,5.000,0,5
wheelbarrow_1,2.000,4.813,6,5
wheelchair,4.667,3.500,6,5
WHEN,5.600,1.914,5,1
WHERE,6.240,1.700,5,2
WHICH,5.800,3.259,5,5
while,4.714,1.783,0,5
WHIP,2.696,6.381,7,2
whisper,4.321,4.250,0,2
WHISTLE,2.926,4.100,6,2
white,4.667,1.167,2,2
white_person,4.600,2.000,0,2
WHO,6.233,3.367,5,2
whole,4.067,5.667,0,5
WHY,6.269,3.306,5,2
why_not,5.185,2.000,0,2
wide,3.448,6.417,0,5
WIFE,5.154,1.583,6,2
will,6.185,1.970,7,2
will_go,3.136,2.280,0,2
WIN,4.960,2.100,7,1
wind,4.714,4.870,0,5
WINDMILL,2.286,2.533,6,3
WINDOW,5.480,4.190,6,1
window_open,4.188,4.800,7,1
windy,4.654,6.059,2,5
WINE,5.333,1.176,6,2
WINK,3.000,5.750,7,2
winter,6.000,3.781,6,5
wise,4.926,2.419,2,2
WISH,4.867,2.700,6,2
WITCH,1.739,2.762,6,2
WITH,5.033,4.593,5,5
without,4.643,2.833,0,5
WOLF,3.000,2.737,6,2
WOMAN,5.933,1.259,6,2
woman_2(nose)lady,3.444,1.435,0,2
WONDER,5.360,4.667,7,2
wood,4.200,3.278,6,1
word,5.207,1.548,6,3
work,6.739,1.733,7,1
work_out,5.563,4.613,7,5
workshop,4.300,1.833,0,1
world,5.320,2.500,6,1
WORM,2.125,4.600,6,3
WORRY,4.100,3.593,7,5
worse,4.222,1.815,0,5
wow,5.704,2.788,5,2
wrap,3.594,5.067,7,5
wrap_up,3.308,5.188,7,5
wrestle,3.467,3.120,0,5
wring,2.708,5.778,0,5
WRISTWATCH,3.840,5.704,6,2
WRITE,5.593,6.571,7,3
write_on_wall,3.385,5.719,7,2
WRONG_1,6.080,1.889,2,2
WRONG_2,5.667,1.389,2,2
yawn,5.963,6.871,7,2
yay,6.067,6.440,0,5
YEAH,5.704,3.229,5,2
YEAR,5.440,1.267,6,5
YELLOW,4.481,1.000,2,2
Yes,6.885,2.800,5,2
YESTERDAY,5.889,1.086,3,2
you,6.889,6.839,5,2
YOUNG,4.962,1.375,2,2
youngster,2.625,1.364,0,5
your,6.222,2.576,5,2
yourself,5.250,2.828,5,3
yoyo,1.808,6.250,0,2
yucky_1,4.429,5.115,2,5
zebra,2.556,2.813,6,5
ZERO,4.192,6.565,1,2
ZIPPER,3.148,6.394,6,1
zoo,3.533,2.100,6,2
ZOOM_IN,3.958,4.667,7,5
ZOOM_OFF,4.333,3.742,7,3
