Code,EntryID,SignFrequency(M),Iconicity(M),MinimalNeighborhoodDensity,SignType,LexicalClass
K_02_071,CLOUD_3,0,0,0,5,0
K_03_059,CLOUD_4,0,0,0,5,0
A_03_026,clown,2.680,4.952,783,2,5
F_03_82,clueless,5.111,3.938,0,2,4
H_02_83,coach,1.333,1.583,0,2,5
D_02_040,cocacola,2.846,1.000,728,2,3
F_03_44,cocaine,3.000,5.094,0,2,5
A_02_088,coconut,3.593,4.067,843,5,5
A_01_032,coffee,6.387,2.286,636,3,5
D_01_018,coins,1.632,1.914,698,4,5
C_02_068,cold,5.900,4.778,742,5,4
B_01_009,college,5.783,1.926,829,3,5
C_02_039,color,5.533,1.115,889,2,5
C_02_070,comb,3.000,6.185,851,2,1
K_03_065,COMB_2,0,0,0,2,0
C_03_074,come,4.833,6.250,920,2,1
H_02_74,come_here_E,4.286,6.750,0,2,0
E_02_20,come_out,4.469,4.655,0,4,1
H_03_58,comfortable,4.926,2.458,0,5,4
H_01_5,comment,4.607,2.111,0,5,1
J_03_072,committee,4.414,1.318,0,2,0
B_03_013,communication,5.760,4.400,843,5,5
J_01_015,community,5.100,1.600,0,5,0
H_02_44,commute,4.407,1.917,0,4,1
G_02_12,compass,2.593,2.844,0,4,5
G_01_23,complain,5.519,2.034,0,2,1
C_01_061,complex,4.500,1.833,840,5,4
A_01_054,computer,3.700,1.342,563,5,5
C_01_073,computer_mouse,3.900,4.700,861,2,5
A_03_086,concept,3.273,3.333,802,2,5
G_02_47,concerned,5.259,2.813,0,5,1
K_01_060,CONDUCT_1,0,0,0,5,0
K_02_091,CONDUCT_2,0,0,0,2,0
K_03_057,CONDUCT_3,0,0,0,2,0
E_02_5,cone,1.500,2.552,0,3,5
D_02_035,confident,4.963,1.667,870,5,4
G_02_22,confidential,5.444,3.484,0,2,4
J_02_084,conflict,4.867,3.958,0,5,0
J_01_110,confused_1,5.100,4.320,0,2,0
J_02_067,confused_2,4.633,3.167,0,2,0
B_02_022,congratulations,4.800,5.500,779,5,7
E_03_60,connection,3.793,4.310,0,5,5
J_01_101,consume,4.500,3.760,0,2,0
D_03_022,contact,5.462,4.182,676,5,5
E_02_74,contact_lens,3.438,4.267,0,2,1
D_03_032,continue,4.615,2.742,834,5,1
G_01_48,convince,4.926,1.667,0,4,1
H_03_13,convince_2,4.036,2.292,0,5,1
D_03_078,cook,6.077,3.120,885,3,1
B_03_008,cookie,4.960,3.267,681,6,5
F_01_14,cool_1,6.037,2.818,0,2,4
G_03_45,cool_2,5.077,4.300,0,5,4
H_03_99,cool_3,4.296,2.833,0,2,4
H_03_32,cool_4,5.393,1.792,0,2,4
J_01_004,cool_5,4.433,4.120,0,5,0
E_01_10,cooperate,5.143,2.846,0,5,1
D_01_064,copy,4.630,2.114,702,4,1
D_01_053,corkscrew,2.850,5.135,727,3,5
K_01_085,CORKSCREW_2,0,0,0,4,0
A_02_084,corn_1,4.185,4.100,861,2,5
C_02_026,corn_2,2.000,3.692,798,5,5
K_02_078,CORN_3,0,0,0,5,0
J_03_071,corner,4.103,4.818,0,5,0
J_02_040,"correct(grade,criticize)",4.600,3.333,0,4,0
E_03_20,cost,5.138,2.438,0,4,5
G_02_13,couch_1,2.591,2.656,0,5,5
C_02_071,cough,3.500,4.815,763,2,5
B_01_005,counselor,4.840,1.889,756,4,5
G_02_54,count,4.556,2.500,0,4,1
C_03_058,country,3.900,1.028,631,2,5
C_01_023,cousin,4.133,1.233,783,2,5
C_03_038,cover_up,3.429,2.889,831,3,1
A_01_033,cow,3.677,2.778,749,2,5
F_01_18,cowboy,1.278,1.788,0,5,5
F_03_67,crack,3.926,3.774,0,3,1
C_01_081,cracker,3.867,1.267,728,2,5
K_03_093,CRACKER_2,0,0,0,2,0
H_02_104,CRANKY,5.143,3.417,0,2,4
J_02_017,crash,3.900,4.750,0,4,0
K_01_034,CRASH_PLANE,0,0,0,4,0
D_01_068,crawl,2.296,2.914,486,4,1
K_02_088,CRAWL_2,0,0,0,5,0
D_03_040,crazy,2.962,6.360,802,2,4
F_02_10,cream,4.407,1.806,0,4,5
K_01_046,CREAM_2,0,0,0,4,0
D_03_076,create,5.308,2.200,737,5,1
B_02_057,credit_card,4.560,2.033,739,4,5
K_02_127,CREWCUT,0,0,0,5,0
F_03_83,criticize,5.333,4.281,0,4,1
D_01_081,crocodile,2.519,5.441,791,5,5
C_01_067,cross,1.967,6.467,812,2,5
H_01_7,cross_2,4.179,4.800,0,3,1
K_03_028,CROSS_3,0,0,0,2,0
J_01_064,cross_heart,2.500,6.120,0,2,0
F_01_16,crown,3.259,5.333,0,5,5
K_01_124,CRUMPLE,0,0,0,5,0
B_03_028,cry,4.440,6.567,902,5,1
K_01_003,CRY_2,0,0,0,5,0
K_02_040,CRY_3,0,0,0,5,0
K_03_060,CRY_4,0,0,0,2,0
H_01_51,culture,5.786,1.821,0,4,5
