,Code,EntryID,SignFrequency(M),Iconicity(M),Neighborhood Density 2.0,SignType,LexicalClass
237,G_03_101,boil_1,4.308,3.043,11,5,7
238,K_03_054,boil_2,2.955,3.269,0,1,7
239,H_02_025,boiling_mad,4.3210000000000015,2.696,1,1,1
240,F_01_089,bolt,1.25,3.1210000000000004,0,4,7
241,F_02_055,bomb,2.87,3.968,0,5,5
242,C_03_015,bone,3.167,2.467,5,5,5
243,A_01_027,book,6.6770000000000005,6.684,7,5,5
244,C_03_019,boots,2.9330000000000003,1.371,5,5,5
245,K_03_101,boots_2,2.789,1.192,17,5,5
246,B_01_017,bored,5.8,1.37,1,4,1
247,K_03_122,bored_2,4.458,2.462,0,0,1
248,B_03_055,borrow,4.96,1.433,2,5,7
249,B_02_052,boss,5.24,1.8,4,4,5
250,J_03_001,boston,4.345,1.391,4,4,6
251,H_01_076,both,5.815,2.4,0,1,3
252,H_01_040,bother,5.0710000000000015,2.0,3,0,7
253,D_02_064,bottle,3.846,4.258,2,1,5
254,F_01_066,bottom,1.643,3.313,5,4,5
255,H_03_057,bounce,2.36,6.0,8,4,7
256,F_03_065,bow_1,2.593,4.667,0,5,5
257,G_02_063,bow_2,2.375,4.188,3,5,5
258,F_01_060,bow_3,2.481,3.0610000000000004,0,1,7
259,K_02_016,bow_4,2.857,6.832999999999998,0,4,7
260,C_03_049,bowl,4.933,4.056,7,5,5
261,A_02_003,bowling,2.346,2.6,4,4,5
262,K_01_067,bowling_2,4.074,5.8,14,4,7
263,A_01_044,bowtie,1.903,5.077,0,5,5
264,C_03_025,box,4.833,4.8889999999999985,13,5,5
265,F_03_050,boxing,3.115,6.75,14,5,7
266,B_02_090,boy,6.16,1.3330000000000002,1,4,5
267,G_02_058,boyfriend,5.407,1.719,0,4,5
268,A_03_028,bra,3.24,6.19,2,5,5
269,K_01_090,bra_2,4.08,4.84,1,4,5
270,K_02_039,bra_3,4.28,4.875,8,4,5
271,A_03_024,bracelet,3.48,6.5710000000000015,5,4,5
272,B_03_011,brag,3.72,3.733,6,5,7
273,K_03_125,braids,3.48,3.615,0,5,5
274,F_01_078,braille,2.148,4.061,1,1,5
275,J_01_103,brainstorm,4.167,3.708,46,4,7
276,E_01_030,brainwash,3.743,4.692,46,4,7
277,B_03_050,brave,4.522,2.533,5,5,1
278,A_02_058,bread,5.259,1.433,0,1,5
279,D_01_069,break,5.148,5.9670000000000005,10,5,7
280,F_01_030,break_down,5.037,4.182,11,5,7
281,B_01_064,breakdown,4.333,3.741,11,5,7
282,F_01_073,breakfast_1,6.037000000000001,0.0,10,4,5
283,J_01_053,breakfast_2,4.6789999999999985,1.5830000000000002,3,4,5
284,J_01_047,breaktime,5.414,2.625,0,1,5
285,D_03_051,breathe,4.038,5.391,1,5,7
286,H_02_085,brick,4.6789999999999985,3.913,6,5,5
287,A_03_016,bridesmaid,3.0,2.333,16,5,5
288,A_03_081,bridge,4.2,3.286,1,4,5
289,K_01_018,bridge_2,4.52,2.833,2,4,5
290,F_03_028,bright,5.63,5.545,8,5,1
291,F_03_004,bring,6.185,5.03,24,5,7
292,B_01_065,brother,5.48,1.074,12,4,5
293,D_03_045,brown,4.923,1.24,8,4,1
294,A_01_072,brush,3.733,6.622000000000001,10,4,5
295,E_02_052,bubbles,2.393,4.103,0,5,5
296,K_02_056,buckle_1,4.76,4.292,0,3,5
297,K_03_073,buckle_2,3.44,2.192,0,1,5
298,E_01_099,budget,4.2860000000000005,1.577,16,0,5
299,F_03_033,buffalo,3.192,4.0,1,4,5
300,B_01_067,bug,4.36,2.963,1,4,5
301,A_03_088,building,5.36,2.857,1,5,5
302,E_01_098,bull,2.613,5.808,5,4,5
303,E_01_083,bulldozer,2.852,3.083,8,1,5
304,J_03_053,bullshit,5.1720000000000015,1.609,2,4,1
305,K_01_123,bumpy,1.364,3.44,0,1,1
306,K_03_121,bun,3.833,4.769,0,4,5
307,J_02_037,burn_1,2.893,3.72,3,5,7
308,F_03_009,burp,1.529,4.645,0,4,7
309,K_01_081,bury,4.63,2.04,3,5,7
310,K_02_014,bury_1,4.375,2.375,0,1,7
311,K_03_018,bury_2,3.136,3.0,2,0,7
312,K_02_093,bury_3,3.458,2.833,24,5,7
313,E_01_004,bus,5.2,1.115,2,4,5
314,D_01_022,business,5.185,1.444,2,0,5
315,G_01_022,busted,4.593,2.759,10,5,1
316,E_02_040,busy,5.6560000000000015,2.367,2,0,1
317,D_03_030,but,5.654,2.25,13,5,3
318,A_01_034,butter,5.065,1.944,1,1,5
319,A_03_056,butterfly,3.72,6.5710000000000015,1,5,5
320,F_02_025,buttons,3.0,6.2,5,4,5
321,D_03_074,buy,5.577000000000001,3.08,5,1,7
322,E_01_058,bye,6.057,6.96,4,4,5
323,B_01_073,cabbage,4.0,1.074,2,4,5
324,B_03_030,cabinet,2.9,3.233,0,5,5
325,A_02_054,cafeteria,4.519,1.767,2,4,5
326,D_01_033,cake,3.2960000000000003,2.0,2,1,5
327,E_03_103,calculator,3.074,3.438,3,1,5
328,D_02_061,calendar,5.296,1.839,1,1,5
329,H_02_038,california,5.107,1.217,1,4,6
330,C_02_061,call,4.967,6.481,2,4,7
331,J_02_048,call_2,4.467,1.52,0,3,7
332,C_01_038,call_attention,4.5,1.7,0,1,7
333,B_03_026,call_tty,3.4,1.267,2,1,7
334,G_03_004,calm,5.148,4.4,8,5,1
335,E_03_021,camcorder,4.7,2.656,6,4,7
336,G_01_042,camel,2.6,4.2410000000000005,6,4,5
337,B_03_073,camera,4.8,6.7,0,1,5
338,E_02_034,cameraman,2.281,4.097,0,3,5
339,A_01_045,camping,4.355,2.667,1,5,5
340,D_03_027,can,6.0,1.68,14,5,7
341,K_02_027,can_2,3.053,2.167,0,1,5
342,C_03_034,canada,3.6,1.056,7,4,6
343,C_02_017,cancellation,3.933,4.7780000000000005,10,1,5
344,G_03_056,cancer_1,4.423,2.095,1,4,5
345,F_01_047,cancer_2,3.963,1.606,0,1,5
346,C_03_060,candle,3.733,3.639,0,1,5
347,A_01_018,candy_1,4.419,1.897,2,4,5
348,D_02_079,candy_2,4.654,1.233,4,4,5
349,G_02_037,cannon,2.577,3.625,11,4,5
350,E_02_094,cannot,5.813,3.483,5,0,7
351,D_01_045,canoe,2.222,5.806,13,5,5
352,F_01_004,cape,1.6,3.576,2,5,5
353,C_02_086,caption,5.2,2.63,12,5,5
354,H_03_048,capture,4.25,4.542,0,1,7
