EntryID,LemmaID,Code,YouTube Video,Vimeo Video,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),PercentUnknown(Native),PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),Iconicity_ID,SubtLexUSLog10WF,LexicalClass,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),MinimalNeighborhoodDensity,MaximalNeighborhoodDensity,Parameter-BasedNeighborhoodDensity,D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(N) native,D.Iconicity(Z) native,Complexity,RightWristX,RightWristcentroidY,DistanceRightWristCentroid2Nose,IconicityType,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,MarkedHandshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,MarkedHandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,MarkedHandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,MarkedHandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,MarkedHandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,MarkedHandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,Batch,Item,List
pitcher,,G_01_28,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/9KY8yQF8jnM?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,2.185,,-1.165,,,,,,,,,,2.621,1.85,-0.322,29,,2.22,Noun,,,,,,,,,,,,,,,,3,960,676,1174,Arbitrary,,0,0,1,y,1,p,1,0,NA,NA,Open,NoContact,OneHanded,Curved,Neutral,Neutral,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G,28,1
pity,pity,C_03_022,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/qJXYg9EgXjQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,4.133,1.224,-0.119,30,0,4.389,1.243,-0.066,18,0,,,1.472,2.075,-0.715,36,,3.08,Noun,500.5,1134.47,633.97,1968.64,563,8,3,2,1,30,-1,2,1,21,-1,2,1652,776,1825,Arbitrary,0,0,0,1,open_8,1,m,4,0,NA,NA,Open,NoContact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,22,3
pizza_1,,G_01_13,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/58S7hlsgcwk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,4.25,,-0.013,,,,,,,,,,1.667,1.85,-0.818,30,,3.233,Noun,,,,,,,,,,,,,,,,0,962,640,1156,Arbitrary,,0,0,1,l,0,i,1,0,NA,NA,Open,NoContact,SymmetricalOrAlternating,None,Neutral,Neutral,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G,13,1
pizza_2,,E_02_85,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/L3y4PJQjyf0?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,5.188,,0.498,,,,,,,,,,1.733,2.052,-0.852,30,,3.233,Noun,,,,,,,,,,,,,,,,3,962,640,1156,Arbitrary,,1,0,4,p,1,im,Stacked,NA,NA,NA,Open,Contact,OneHanded,Straight,Neutral,Neutral,Neutral,0,NA,0,i,1,p,1,NA,NA,NA,Closed,NoContact,NA,NA,NA,NA,NA,NA,NA,NA,v,1,im,1,NA,1,NA,Closed,NoContact,NA,NA,NA,NA,NA,NA,NA,NA,a,0,t,NA,NA,NA,NA,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Closed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Closed,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,85,2
pizza_cutter,,E_02_84,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/jznvDqFkI5Y?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,1.875,,-1.352,,,,,,,,,,4.69,2.052,0.413,29,,,Noun,,,,,,,,,,,,,,,,0,903,1332,1609,NA,0,0,1,4,curved_l,1,i,2,0,NA,NA,Open,NoContact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,NA,0,bent_1,1,i,2,0,NA,NA,Open,Contact,AsymmetricalDifferentHandshape,Straight,Neutral,Neutral,Neutral,0,1,0,bent_1,1,i,2,0,NA,NA,Open,Contact,AsymmetricalDifferentHandshape,Straight,Neutral,Neutral,Neutral,0,1,0,bent_1,1,i,2,0,NA,NA,Open,Contact,AsymmetricalDifferentHandshape,Straight,Neutral,Neutral,Neutral,0,1,NA,NA,NA,NA,NA,NA,NA,NA,Closed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Closed,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,84,2
pjs,,E_03_102,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/hx_5VQV0RfY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,3.5,,-0.359,,,,,,,,,,1.563,2.018,-0.823,16,,2.474,Noun,,,,,,,,,,,,,,,,3,960,676,1174,Arbitrary,,1,0,2,p,1,im,Stacked,NA,NA,NA,Open,Contact,OneHanded,None,Neutral,Neutral,NA,0,NA,1,i,1,p,1,NA,NA,NA,Closed,NoContact,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,102,3
place,,G_01_29,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/zsq14c1wUao?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,5.778,,0.854,,,,,,,,,,2.107,1.85,-0.563,28,,4.488,Noun,,,,,,,,,,,,,,,,4,963,591,1130,Arbitrary,1,0,0,1,p,1,im,Stacked,0,NA,0,Open,Contact,SymmetricalOrAlternating,Curved,Neutral,Neutral,Neutral,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G,29,1
place_2(y),,H_01_41,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/JhIF1nLTIio?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,1.444,,-1.373,,,,,,,,,,2.185,1.902,-0.578,27,place,,NA,,,,,,,,,,,,,,,,2,956,400,1036,Arbitrary,,0,0,1,y,1,p,1,0,NA,NA,Open,NoContact,SymmetricalOrAlternating,Curved,Neutral,Neutral,Neutral,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,41,1
plain,,E_03_79,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/FmEcLqTek1g?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,3.9,,-0.123,,,,,,,,,,2.645,2.018,-0.278,31,,3.047,Adjective,,,,,,,,,,,,,,,,0,961,828,1268,Arbitrary,,0,1,2,1,0,i,1,0,NA,NA,Closed,NoContact,OneHanded,None,Head,Mouth,NA,1,NA,0,open_b,1,imrp,1,0,0,0,Open,NoContact,AsymmetricalSameHandshape,Straight,Hand,Palm,FingerFront,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,79,3
plan,,E_03_34,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/bwfkSjTQ33I?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,5.633,,0.739,,,,,,,,,,2,2.018,-0.621,30,,3.871,Verb,,,,,,,,,,,,,,,,0,952,326,1006,Arbitrary,,0,0,1,open_b,1,imrp,1,0,0,0,Open,NoContact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,34,3
planet,,F_01_19,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/X-nR80oUzI0?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,4.222,,0.009,,,,,,,,,,1.424,1.968,-0.964,33,,3.296,Noun,,,,,,,,,,,,,,,,3,969,982,1380,Arbitrary,,0,0,1,open_8,1,m,4,0,NA,NA,Open,NoContact,AsymmetricalDifferentHandshape,Curved,Hand,PalmBack,NA,1,C,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,19,1
plant,,E_01_29,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/yCE1sx3KPNM?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen="""">
</iframe>",,4.829,,0.304,,,,,,,,,,3,2.198,-0.039,4,,3.149,Noun,,,,,,,,,,,,,,,,4,976,1091,1464,Arbitrary,0,0,0,1,NA,NA,imrp,5,1,0,1,Open,Contact,AsymmetricalDifferentHandshape,Curved,Hand,Other,HandAway,1,C,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,29,1
plate,,F_02_60,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/KG_pGhWoD-w?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,4.889,,0.354,,,,,,,,,,2.774,2.218,-0.256,31,,3.117,Noun,,,,,,,,,,,,,,,,0,962,640,1156,Arbitrary,,0,0,1,curved_l,1,i,5,0,NA,NA,Open,NoContact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,60,2
platform,,E_03_70,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/UWRXnEluy1A?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,3.933,,-0.157,,,,,,,,,,5.719,2.018,1.198,32,,2.497,Noun,,,,,,,,,,,,,,,,0,952,324,1005,NA,,0,0,1,closed_b,0,imrp,1,0,0,0,Closed,NoContact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,70,3
play,play,C_01_066,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/TLI9gZqnvc8?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,5.967,1.159,0.958,30,0,6,1.085,0.865,18,0,,,2.4,1.921,-0.294,30,,4.257,Verb,400.4,900.9,500.5,1501.5,772,18,3,2,1,30,-1,2,1,21,0,1,1547,644,1676,Arbitrary,0,0,0,1,y,1,p,1,0,NA,NA,Open,NoContact,SymmetricalOrAlternating,None,Neutral,Neutral,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,66,1
players,,G_03_62,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/JVAOGNNHxEM?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,4.731,,0.315,,,,,,,,,,2.095,2.021,-0.533,21,,2.943,Noun,,,,,,,,,,,,,,,,1,962,640,1156,Arbitrary,,0,1,2,y,1,p,1,0,NA,NA,Open,NoContact,SymmetricalOrAlternating,None,Neutral,Neutral,NA,0,NA,1,open_b,1,imrp,1,0,0,0,Open,NoContact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G,62,3
playground,playground,A_02_029,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/4Z7BKRNFLNg?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,3.778,1.601,-0.041,27,0,3.692,1.601,-0.061,13,0,,,1.6,2.074,-0.686,30,,2.417,Noun,467.13,1501.5,1034.37,1701.7,772,18,3,2,1,31,-1,2,1,19,-1,1,1562,700,1712,Arbitrary,0,0,1,3,y,1,p,1,0,NA,NA,Open,NoContact,SymmetricalOrAlternating,None,Neutral,Neutral,NA,0,NA,1,flat_o,0,imrp,4,0,0,0,Open,Contact,SymmetricalOrAlternating,None,Neutral,Neutral,NA,0,NA,0,5,0,imrp,1,0,1,0,Open,NoContact,SymmetricalOrAlternating,Circular,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,29,2
please,please,B_02_007,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/51ue8u5P4XE?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,6.16,1.313,0.908,25,0,6.143,1.406,0.86,14,0,,,2.667,2.045,-0.059,30,,4.749,Adverb,567.23,1101.1,533.87,1968.64,889,13,3,2,1,31,0,2,1,22,0,1,1652,776,1825,Arbitrary,0,0,0,1,open_b,1,imrp,1,0,0,0,Open,NoContact,OneHanded,Circular,Body,TorsoTop,TorsoTop,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,7,2
plenty,,E_01_14,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/y9lqLLcZczk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,4.371,,0.056,,,,,,,,,,2.577,2.198,-0.344,26,,3.502,Adjective,,,,,,,,,,,,,,,,1,959,713,1195,Arbitrary,,0,0,1,5,0,imrp,1,0,1,0,Open,NoContact,AsymmetricalDifferentHandshape,Straight,Hand,FingerRadial,HandAway,1,S,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,14,1
pliers,pliers,D_01_032,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/Ak3M_tsjDZY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,3.04,2.091,-0.568,25,7,2.857,1.994,-0.637,14,12.5,,,4.486,2.025,0.74,35,,1.778,Noun,600.6,1835.17,1234.57,2569.24,872,25,8,5,2,26,1,4,2,18,1,0,1739,814,1920,NA,0,0,0,1,spread_o,0,t,NA,NA,NA,NA,Open,NA,OneHanded,None,Neutral,Neutral,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,32,1
plow,,H_02_58,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/LhP_TrtIsP8?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",,0,,0,,,,,,,,,,4.435,1.727,0.525,24,,,NA,,,,,,,,,,,,,,,,0,984,1310,1638,Perceptual,,0,0,1,curved_5,1,imrp,5,0,1,0,Open,NoContact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,58,2
PLOW_2,,K_02_089,,"<iframe src=""https://player.vimeo.com/video/342142631"" width=""280"" height=""158"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",,,,,,,,,,,,,,,,,PLOW,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
plug_1,,E_01_22,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/8Wgj-lXCjp0?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen="""">
</iframe>",,4.485,,0.056,,,,,,,,,,2.2,2.198,-0.793,5,,2.726,Noun,,,,,,,,,,,,,,,,4,962,867,1295,Arbitrary,0,0,0,1,flat_v,1,im,4,0,1,0,Closed,NoContact,AsymmetricalDifferentHandshape,Straight,Hand,Other,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,22,1
